antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Roti bakar coklat'}),frozenset({'add Keju'}),0.04895104895104895,0.006842619745845552,0.0051883600270697045,0.10599078341013825,15.489795918367347,1.0,0.004853406612937405,1.1109028428616057,0.9835890878090368,0.1025260029717682,0.09983127109111362,0.4321162708259482
frozenset({'add Keju'}),frozenset({'Roti bakar coklat'}),0.006842619745845552,0.04895104895104895,0.0051883600270697045,0.7582417582417582,15.489795918367346,1.0,0.004853406612937405,3.9338842975206605,0.9418863402944198,0.1025260029717682,0.7457983193277311,0.4321162708259482
frozenset({'Add Espresso'}),frozenset({'Arunika'}),0.013910820362433267,0.045717723137077976,0.005940296262876908,0.427027027027027,9.34051386913229,1.0,0.005304325228937557,1.665492653015477,0.9055362613730036,0.11064425770308123,0.3995770571611718,0.2784806187766714
frozenset({'Arunika'}),frozenset({'Add Espresso'}),0.045717723137077976,0.013910820362433267,0.005940296262876908,0.1299342105263158,9.34051386913229,1.0,0.005304325228937557,1.1333501346307004,0.935718424997681,0.11064425770308123,0.11766013922445277,0.2784806187766714
frozenset({'Mie Goreng'}),frozenset({'Add Telur'}),0.05857583276938116,0.024212346792991956,0.008271298593879239,0.14120667522464697,5.8320110987968325,1.0,0.00685304021717868,1.13623106404822,0.8800842288701713,0.11099899091826437,0.11989732402038838,0.24141079102847254
frozenset({'Add Telur'}),frozenset({'Mie Goreng'}),0.024212346792991956,0.05857583276938116,0.008271298593879239,0.3416149068322981,5.8320110987968325,1.0,0.00685304021717868,1.429898970982355,0.8490910491989323,0.11099899091826437,0.3006498918500585,0.24141079102847254
frozenset({'Add Telur'}),frozenset({'Nasi Goreng Jawa'}),0.024212346792991956,0.055944055944055944,0.005789909015715467,0.23913043478260868,4.27445652173913,1.0,0.004435372132191442,1.2407592407592407,0.7850602814770188,0.07785642062689585,0.1940418679549114,0.17131252921926132
frozenset({'Nasi Goreng Jawa'}),frozenset({'Add Telur'}),0.055944055944055944,0.024212346792991956,0.005789909015715467,0.10349462365591398,4.27445652173913,1.0,0.004435372132191442,1.0884348035772324,0.8114478114478114,0.07785642062689585,0.08124951837866996,0.17131252921926132
frozenset({'Add Espresso'}),frozenset({'Basreng'}),0.013910820362433267,0.13858184825926761,0.005037972779908264,0.3621621621621621,2.613344869557566,1.0,0.0031101855832796066,1.350528458237589,0.6260576027897723,0.034166241713411524,0.2595491091650309,0.19925796659383202
frozenset({'Tubruk'}),frozenset({'Singkong keju'}),0.09820287239642078,0.04398826979472141,0.010602300924881571,0.10796324655436448,2.4543644716692192,1.0,0.006282526479291214,1.0717178709425699,0.6570907497458625,0.08057142857142857,0.06691861065962665,0.17449444379000276
frozenset({'Singkong keju'}),frozenset({'Tubruk'}),0.04398826979472141,0.09820287239642078,0.010602300924881571,0.24102564102564103,2.4543644716692192,1.0,0.006282526479291214,1.1881786478560672,0.6198276987338467,0.08057142857142857,0.15837571916951557,0.17449444379000276
frozenset({'Husgendam Hot'}),frozenset({'Singkong keju'}),0.05308669824798857,0.04398826979472141,0.0054139408978118655,0.1019830028328612,2.318413597733711,1.0,0.00307874889276838,1.0645808856860044,0.6005518939093147,0.059064807219031984,0.060663202349710635,0.11252996295489213
frozenset({'Singkong keju'}),frozenset({'Husgendam Hot'}),0.04398826979472141,0.05308669824798857,0.0054139408978118655,0.12307692307692307,2.318413597733711,1.0,0.00307874889276838,1.0798134142786096,0.5948364008179959,0.059064807219031984,0.07391407925037718,0.11252996295489213
frozenset({'Singkong keju'}),frozenset({'Tahu tuna'}),0.04398826979472141,0.06120760959470637,0.005865102639296188,0.13333333333333333,2.1783783783783783,1.0,0.003172685794954265,1.083221988929185,0.5658329400660688,0.05904617713853141,0.07682819383259912,0.11457821457821457
frozenset({'Nasi gila'}),frozenset({'Nasi Goreng Jawa'}),0.05692157305060531,0.055944055944055944,0.006917813369426273,0.1215323645970938,2.1723910171730516,1.0,0.0037333897022595423,1.074662179925338,0.572251149182226,0.06529453513129879,0.06947502323988454,0.12259413928779421
frozenset({'Nasi Goreng Jawa'}),frozenset({'Nasi gila'}),0.055944055944055944,0.05692157305060531,0.006917813369426273,0.12365591397849462,2.1723910171730516,1.0,0.0037333897022595423,1.0761508430220086,0.571658615136876,0.06529453513129879,0.07076223887737204,0.12259413928779421
frozenset({'Kentang goreng'}),frozenset({'Coklat ice'}),0.1152718249492443,0.04880066170388751,0.012030979772915257,0.10437051532941943,2.138711068360476,1.0,0.006405638439577446,1.062045583108478,0.6017991458439571,0.0791295746785361,0.05842082872458095,0.17545182160923975
frozenset({'Coklat ice'}),frozenset({'Kentang goreng'}),0.04880066170388751,0.1152718249492443,0.012030979772915257,0.24653312788906007,2.138711068360476,1.0,0.006405638439577446,1.1742097865193057,0.5597445652173914,0.0791295746785361,0.14836342578587536,0.17545182160923975
frozenset({'Mie goreng'}),frozenset({'Lychee Tea ice'}),0.02090382735544026,0.1170764719151816,0.005113166403488984,0.24460431654676257,2.0892696247626175,1.0,0.002665820047189978,1.1688225752741883,0.5324950193578699,0.038483305036785515,0.14443815412667305,0.14413902404088288
frozenset({'Taro ice'}),frozenset({'Kentang goreng'}),0.02594180013534852,0.1152718249492443,0.0062410707571997895,0.24057971014492754,2.0870642956408294,1.0,0.0032507121131296127,1.1650046579866822,0.5347299340948789,0.04623955431754875,0.14163433326681893,0.14736095748603195
frozenset({'Ayam chili padi'}),frozenset({'Kopi susu ice'}),0.016016241822693435,0.15647793067147905,0.0051883600270697045,0.323943661971831,2.070219490900231,1.0,0.002682171649520638,1.2477097275484372,0.5253739475974989,0.03101123595505618,0.19853153508320384,0.1785503989820712
frozenset({'Nasi Goreng Jawa'}),frozenset({'Lemon Hot'}),0.055944055944055944,0.06083164147680277,0.006767426122264832,0.12096774193548387,1.988566131025958,1.0,0.003364257368317824,1.0684117106135456,0.5265843621399177,0.06151742993848256,0.064031224979984,0.11610809840902747
frozenset({'Lemon Hot'}),frozenset({'Nasi Goreng Jawa'}),0.06083164147680277,0.055944055944055944,0.006767426122264832,0.11124845488257107,1.988566131025958,1.0,0.003364257368317824,1.062227063617884,0.5293247931678676,0.06151742993848256,0.058581696653390095,0.11610809840902747
frozenset({'Coklat ice'}),frozenset({'Matcha ice'}),0.04880066170388751,0.05459057071960298,0.005263553650650425,0.10785824345146379,1.975766914133632,1.0,0.002599497676740933,1.0597076331657647,0.5192049689440994,0.05363984674329502,0.05634349635417298,0.10213848811691648
frozenset({'Kirana'}),frozenset({'Tahu tuna'}),0.053913828107376494,0.06120760959470637,0.0064666516279419505,0.11994421199442121,1.9596290851520979,1.0,0.003166715085389543,1.0667419079565696,0.5176054385556332,0.05951557093425606,0.06256612537555528,0.11279765882276344
frozenset({'Tahu tuna'}),frozenset({'Kirana'}),0.06120760959470637,0.053913828107376494,0.0064666516279419505,0.10565110565110565,1.9596290851520977,1.0,0.003166715085389543,1.0578490987920268,0.521626882491548,0.05951557093425606,0.05468558687442808,0.11279765882276344
frozenset({'Nasi Goreng Jawa'}),frozenset({'Lemon Ice'}),0.055944055944055944,0.06586961425671103,0.006917813369426273,0.12365591397849462,1.877283105022831,1.0,0.0032327999844354457,1.0659401947745506,0.4950080515297906,0.060209424083769635,0.061861064155196,0.11433937251436146
frozenset({'Lemon Ice'}),frozenset({'Nasi Goreng Jawa'}),0.06586961425671103,0.055944055944055944,0.006917813369426273,0.1050228310502283,1.877283105022831,1.0,0.0032327999844354457,1.0548380191237334,0.5002677362115852,0.060209424083769635,0.05198714696431591,0.11433937251436146
"frozenset({'Lychee Tea ice', 'Kopi susu ice'})",frozenset({'Basreng'}),0.022934055192119707,0.13858184825926761,0.005865102639296188,0.25573770491803277,1.84539106766409,1.0,0.0026868588826921857,1.157412054100984,0.46886235461731846,0.03768115942028985,0.13600346872424213,0.14903000275744285
"frozenset({'Lychee Tea ice', 'Basreng'})",frozenset({'Kopi susu ice'}),0.020527859237536656,0.15647793067147905,0.005865102639296188,0.28571428571428575,1.8259078739616945,1.0,0.002652945704691046,1.1809308970599295,0.46180715492092744,0.03427065026362038,0.15321040165040883,0.16159813276584062
frozenset({'Singkong keju'}),frozenset({'Kentang goreng'}),0.04398826979472141,0.1152718249492443,0.009248815700428605,0.21025641025641026,1.8240052185257665,1.0,0.004178207564831347,1.1202726891876453,0.4725422714349843,0.061654135338345864,0.1073601903790583,0.14524562195795074
frozenset({'Matcha ice'}),frozenset({'Kentang goreng'}),0.05459057071960298,0.1152718249492443,0.011429430784269494,0.209366391184573,1.8162841724485561,1.0,0.005136676072400078,1.1190115942279593,0.4753764332090068,0.07214048410061699,0.10635421012779503,0.15425919037376074
frozenset({'Coklat Hot'}),frozenset({'Kentang goreng'}),0.04188284833446124,0.1152718249492443,0.008647266711782842,0.2064631956912029,1.7910985254385565,1.0,0.0038193543501970776,1.1149176323603416,0.4609910395610546,0.058227848101265835,0.10307275535418214,0.14073975179211157
frozenset({'Tubruk'}),frozenset({'Lemon Hot'}),0.09820287239642078,0.06083164147680277,0.010602300924881571,0.10796324655436448,1.7747876587472105,1.0,0.004628458999270291,1.0528359452629148,0.48409148835638766,0.07142857142857144,0.05018440479795783,0.1411262462685296
frozenset({'Lemon Hot'}),frozenset({'Tubruk'}),0.06083164147680277,0.09820287239642078,0.010602300924881571,0.17428924598269468,1.7747876587472102,1.0,0.004628458999270291,1.0921465213043346,0.46482860046902774,0.07142857142857144,0.08437194049227521,0.1411262462685296
frozenset({'Kopi Susu Hot'}),frozenset({'Kentang goreng'}),0.0461688848785623,0.1152718249492443,0.009399202947590045,0.20358306188925082,1.766112941986397,1.0,0.004077231331766599,1.1108856840105603,0.4547815530153725,0.06181998021760633,0.099817366995168,0.1425612634951799
