antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Mie Rebus'}),frozenset({'Mie Goreng'}),0.027646610814927648,0.05856816450875857,0.005026656511805026,0.1818181818181818,3.1043858612129087,1.0,0.0034074452614867197,1.1506389100448506,0.6971488995065402,0.06191369606003753,0.13091762214001512,0.13382196477124955
frozenset({'Singkong keju'}),frozenset({'Tubruk'}),0.04447829398324448,0.09900990099009901,0.010738766184310739,0.24143835616438356,2.4385273972602737,1.0,0.006334974700821186,1.1877612140446552,0.6173762822317417,0.08089500860585197,0.15807993376486526,0.174949947312961
frozenset({'Tubruk'}),frozenset({'Singkong keju'}),0.09900990099009901,0.04447829398324448,0.010738766184310739,0.10846153846153846,2.4385273972602737,1.0,0.006334974700821186,1.0717672284916155,0.6547424206998674,0.08089500860585197,0.06696158138051968,0.174949947312961
frozenset({'Husgendam Hot'}),frozenset({'Singkong keju'}),0.05376999238385377,0.04447829398324448,0.0054836252856054835,0.10198300283286119,2.2928712794442934,1.0,0.0030920277568796187,1.0640352120628225,0.5959075624239821,0.059113300492610835,0.06018147833536325,0.11263533703286895
frozenset({'Singkong keju'}),frozenset({'Husgendam Hot'}),0.04447829398324448,0.05376999238385377,0.0054836252856054835,0.1232876712328767,2.2928712794442934,1.0,0.0030920277568796187,1.0792936024371669,0.5901128292328675,0.059113300492610835,0.07346805564131287,0.11263533703286895
frozenset({'Nasi gila'}),frozenset({'Nasi Goreng Jawa'}),0.0575019040365575,0.05620715917745621,0.0070068545316070065,0.12185430463576159,2.167949891419444,1.0,0.0037748358584174073,1.074756553274541,0.571602986385595,0.06566738044254104,0.069556731751739,0.12325777562411386
frozenset({'Nasi Goreng Jawa'}),frozenset({'Nasi gila'}),0.05620715917745621,0.0575019040365575,0.0070068545316070065,0.12466124661246611,2.1679498914194437,1.0,0.0037748358584174073,1.076723830992292,0.5708188312235103,0.06566738044254104,0.07125674085023677,0.12325777562411386
frozenset({'Singkong keju'}),frozenset({'Tahu tuna'}),0.04447829398324448,0.061995430312262,0.005940594059405941,0.13356164383561644,2.154378849584329,1.0,0.003183143084359405,1.0825981594815,0.5607712336550212,0.0590909090909091,0.07629623120831795,0.11469236982935613
frozenset({'Coklat ice'}),frozenset({'Kentang goreng'}),0.04912414318354912,0.11675552170601676,0.012185833968012186,0.248062015503876,2.124627699651593,1.0,0.006450319002255842,1.1746240999992148,0.5566755106127352,0.07928642220019821,0.1486638150871684,0.1762162654166477
frozenset({'Kentang goreng'}),frozenset({'Coklat ice'}),0.11675552170601676,0.04912414318354912,0.012185833968012186,0.10437051532941943,2.1246276996515925,1.0,0.006450319002255842,1.061684405316547,0.5993010045701475,0.07928642220019821,0.05810050991391887,0.1762162654166477
frozenset({'Mie goreng'}),frozenset({'Lychee Tea ice'}),0.02102056359482102,0.11843107387661843,0.005178979436405179,0.24637681159420288,2.080339251596067,1.0,0.0026894915163787744,1.1697741519714102,0.5304597332942824,0.038570618264322176,0.14513412840016274,0.14505335756559018
frozenset({'Taro ice'}),frozenset({'Kentang goreng'}),0.026275704493526276,0.11675552170601676,0.006321401370906321,0.24057971014492752,2.060542461971884,1.0,0.003253567784571532,1.1630509351581078,0.5285797079597231,0.04623955431754874,0.14019242857660588,0.14736095748603192
frozenset({'Ayam chili padi'}),frozenset({'Kopi susu ice'}),0.016146230007616145,0.1581111957349581,0.005255140898705255,0.3254716981132076,2.0584987457738033,1.0,0.002702241165589405,1.2481148706586633,0.522647872533775,0.031095087877422267,0.19879169497253626,0.1793543461664304
frozenset({'Lemon Hot'}),frozenset({'Nasi Goreng Jawa'}),0.061462300076161464,0.05620715917745621,0.006854531607006854,0.11152416356877323,1.9841629643062229,1.0,0.003399910323213468,1.062260561427884,0.5284914387730261,0.06185567010309278,0.05861138376839836,0.11673769154048416
frozenset({'Nasi Goreng Jawa'}),frozenset({'Lemon Hot'}),0.05620715917745621,0.061462300076161464,0.006854531607006854,0.1219512195121951,1.9841629643062226,1.0,0.003399910323213468,1.068890158246594,0.5255487411233053,0.06185567010309278,0.06445017546012512,0.11673769154048416
frozenset({'Coklat ice'}),frozenset({'Matcha ice'}),0.04912414318354912,0.05498857578065499,0.005331302361005331,0.10852713178294573,1.9736305267452596,1.0,0.002630035690896994,1.0600562932547435,0.5188054236512386,0.05397070161912105,0.05665387172067033,0.10274002018510167
frozenset({'Kirana'}),frozenset({'Tahu tuna'}),0.054455445544554455,0.061995430312262,0.00654988575780655,0.12027972027972028,1.940138485593031,1.0,0.0031738969784259464,1.0662532071967135,0.5124802142944114,0.0595980595980596,0.06213646697570049,0.11296541296541296
frozenset({'Tahu tuna'}),frozenset({'Kirana'}),0.061995430312262,0.054455445544554455,0.00654988575780655,0.10565110565110565,1.940138485593031,1.0,0.0031738969784259464,1.0572434990751822,0.5165996963677425,0.0595980595980596,0.054144101264520114,0.11296541296541296
frozenset({'Lemon Ice'}),frozenset({'Nasi Goreng Jawa'}),0.06626047220106626,0.05620715917745621,0.0070068545316070065,0.10574712643678161,1.8813818023237703,1.0,0.003282541623428263,1.0553981639018164,0.5017199801404354,0.06068601583113456,0.05249029778203216,0.11520418652462386
frozenset({'Nasi Goreng Jawa'}),frozenset({'Lemon Ice'}),0.05620715917745621,0.06626047220106626,0.0070068545316070065,0.12466124661246611,1.88138180232377,1.0,0.003282541623428263,1.0667179125628685,0.49637564206921714,0.06068601583113456,0.06254503817468841,0.11520418652462386
"frozenset({'Lychee Tea ice', 'Kopi susu ice'})",frozenset({'Basreng'}),0.023229246001523228,0.13914699162223915,0.005940594059405941,0.2557377049180328,1.8378960402702633,1.0,0.002708314360641056,1.156652720507564,0.466741640425851,0.0379746835443038,0.13543626166272416,0.1492153220813481
"frozenset({'Lychee Tea ice', 'Basreng'})",frozenset({'Kopi susu ice'}),0.020792079207920793,0.1581111957349581,0.005940594059405941,0.2857142857142857,1.807046518029177,1.0,0.0026531335540256233,1.1786443259710586,0.45609395659951774,0.03434610303830912,0.1515676290418465,0.1616432700247729
frozenset({'Singkong keju'}),frozenset({'Kentang goreng'}),0.04447829398324448,0.11675552170601676,0.009367859862909368,0.21061643835616436,1.8039098732005467,1.0,0.004174773444302072,1.1189040679472586,0.4663929422651471,0.06168505516549649,0.10626833108704303,0.14542563600782776
frozenset({'Matcha ice'}),frozenset({'Kentang goreng'}),0.05498857578065499,0.11675552170601676,0.011576542269611577,0.21052631578947367,1.8031379819411542,1.0,0.005156322416470366,1.1187763391723788,0.47132898130238554,0.07227769852591535,0.1061662952760015,0.15483915267621107
frozenset({'Coklat Hot'}),frozenset({'Kentang goreng'}),0.04242193450114242,0.11675552170601676,0.008758568164508759,0.2064631956912029,1.7683377426128466,1.0,0.0038055730700494034,1.1130479059044087,0.45374594974047217,0.05822784810126583,0.10156607393511201,0.14073975179211157
frozenset({'Lemon Hot'}),frozenset({'Tubruk'}),0.061462300076161464,0.09900990099009901,0.010738766184310739,0.17472118959107807,1.7646840148698886,1.0,0.004653389939146237,1.0917402551065918,0.46170368157795233,0.07171922685656154,0.08403121042526247,0.14159136402630826
frozenset({'Tubruk'}),frozenset({'Lemon Hot'}),0.09900990099009901,0.061462300076161464,0.010738766184310739,0.10846153846153846,1.7646840148698884,1.0,0.004653389939146237,1.0527170059542623,0.480944587327566,0.07171922685656154,0.05007709161730098,0.14159136402630826
frozenset({'Kopi Susu Hot'}),frozenset({'Kentang goreng'}),0.04676313785224676,0.11675552170601676,0.00952018278750952,0.2035830618892508,1.7436696690188276,1.0,0.004060328230960069,1.1090227191666784,0.4474196228827101,0.061819980217606325,0.09830521709113244,0.14256126349517986
frozenset({'Red Velvet ice'}),frozenset({'Kentang goreng'}),0.03015993907083016,0.11675552170601676,0.006092916984006093,0.20202020202020202,1.730283922064744,1.0,0.002571577563169639,1.1068506753304346,0.4351853306109627,0.04326663061114116,0.09653576377729176,0.12710272984245585
frozenset({'Nasi gila'}),frozenset({'Lemon Ice'}),0.0575019040365575,0.06626047220106626,0.00654988575780655,0.11390728476821194,1.7190835046053135,1.0,0.002739782443883852,1.0537718138836996,0.4438148931172187,0.05588044184535413,0.05102794853235095,0.10637892974042781
frozenset({'Tahu tuna'}),frozenset({'Kentang goreng'}),0.061995430312262,0.11675552170601676,0.012261995430312263,0.1977886977886978,1.6940414885620365,1.0,0.005023686620815108,1.1010122593128673,0.4367736560430405,0.0736505032021958,0.09174489971247753,0.15140576441946305
frozenset({'Kentang goreng'}),frozenset({'Tahu tuna'}),0.11675552170601676,0.061995430312262,0.012261995430312263,0.10502283105022832,1.6940414885620365,1.0,0.005023686620815108,1.0480765344980338,0.463853095440725,0.0736505032021958,0.04587120588579878,0.15140576441946305
