Date,Category,Quantity,UniqueItemCount,Net sales,Gross sales
2022-01-01,Artisan Tea,3.0,1,0.0,0.0
2022-01-01,Coffee Based,6.0,3,0.0,0.0
2022-01-01,Main Course,1.0,1,0.0,0.0
2022-01-01,Signature,1.0,1,0.0,0.0
2022-01-01,Signature Based,3.0,3,0.0,0.0
2022-01-01,Snack,4.0,3,0.0,0.0
2022-01-01,Tea Based,1.0,1,0.0,0.0
2022-01-01,Toast,2.0,1,0.0,0.0
2022-01-02,Coffee Based,6.0,3,0.0,0.0
2022-01-02,Espresso Based,2.0,1,0.0,0.0
2022-01-02,Milk Based,2.0,2,0.0,0.0
2022-01-02,Other,3.0,1,0.0,0.0
2022-01-02,Signature Based,3.0,2,0.0,0.0
2022-01-02,Snack,2.0,2,0.0,0.0
2022-01-02,Tea Based,1.0,1,0.0,0.0
2022-01-02,Toast,1.0,1,0.0,0.0
2022-01-03,Artisan Tea,1.0,1,0.0,0.0
2022-01-03,Coffee Based,2.0,1,0.0,0.0
2022-01-03,Espresso Based,4.0,3,0.0,0.0
2022-01-03,Main Course,3.0,1,0.0,0.0
2022-01-03,Mie,5.0,2,0.0,0.0
2022-01-03,Milk Based,3.0,2,0.0,0.0
2022-01-03,Other,2.0,1,0.0,0.0
2022-01-03,Tea Based,6.0,3,0.0,0.0
2022-01-04,Artisan Tea,2.0,2,0.0,0.0
2022-01-04,Coffee Based,3.0,2,0.0,0.0
2022-01-04,Espresso Based,1.0,1,0.0,0.0
2022-01-04,Main Course,5.0,2,0.0,0.0
2022-01-04,Mie,1.0,1,0.0,0.0
2022-01-04,Milk Based,5.0,4,0.0,0.0
2022-01-04,Other,1.0,1,0.0,0.0
2022-01-04,Signature Based,10.0,3,0.0,0.0
2022-01-04,Snack,2.0,2,0.0,0.0
2022-01-04,Tea Based,7.0,3,0.0,0.0
2022-01-04,Toast,3.0,2,0.0,0.0
2022-01-05,Artisan Tea,4.0,2,0.0,0.0
2022-01-05,Coffee Based,2.0,1,0.0,0.0
2022-01-05,Main Course,2.0,2,0.0,0.0
2022-01-05,Mie,3.0,1,0.0,0.0
2022-01-05,Milk Based,5.0,3,0.0,0.0
2022-01-05,Other,2.0,1,0.0,0.0
2022-01-05,Signature Based,3.0,2,0.0,0.0
2022-01-05,Snack,6.0,4,0.0,0.0
2022-01-05,Tea Based,4.0,3,0.0,0.0
2022-01-05,Toast,1.0,1,0.0,0.0
2022-01-06,Artisan Tea,2.0,1,0.0,0.0
2022-01-06,Coffee Based,4.0,3,0.0,0.0
2022-01-06,Espresso Based,2.0,2,0.0,0.0
2022-01-06,Milk Based,3.0,1,0.0,0.0
2022-01-06,Other,1.0,1,0.0,0.0
2022-01-06,Signature,1.0,1,0.0,0.0
2022-01-06,Signature Based,2.0,2,0.0,0.0
2022-01-06,Snack,9.0,5,0.0,0.0
2022-01-06,Tea Based,3.0,1,0.0,0.0
2022-01-07,Artisan Tea,1.0,1,0.0,0.0
2022-01-07,Coffee Based,2.0,2,0.0,0.0
2022-01-07,Espresso Based,1.0,1,0.0,0.0
2022-01-07,Main Course,1.0,1,0.0,0.0
2022-01-07,Mie,2.0,2,0.0,0.0
2022-01-07,Milk Based,1.0,1,0.0,0.0
2022-01-07,Other,1.0,1,0.0,0.0
2022-01-07,Signature,1.0,1,0.0,0.0
2022-01-07,Signature Based,2.0,1,0.0,0.0
2022-01-07,Snack,4.0,2,0.0,0.0
2022-01-07,Tea Based,3.0,2,0.0,0.0
2022-01-08,Artisan Tea,1.0,1,0.0,0.0
2022-01-08,Coffee Based,5.0,2,0.0,0.0
2022-01-08,Espresso Based,4.0,2,0.0,0.0
2022-01-08,Main Course,2.0,1,0.0,0.0
2022-01-08,Milk Based,4.0,2,0.0,0.0
2022-01-08,Signature Based,9.0,4,0.0,0.0
2022-01-08,Snack,4.0,2,0.0,0.0
2022-01-08,Tea Based,4.0,3,0.0,0.0
2022-01-08,Toast,3.0,3,0.0,0.0
2022-01-09,Artisan Tea,2.0,1,0.0,0.0
2022-01-09,Coffee Based,4.0,2,0.0,0.0
2022-01-09,Espresso Based,2.0,2,0.0,0.0
2022-01-09,Main Course,4.0,2,0.0,0.0
2022-01-09,Mie,8.0,2,0.0,0.0
2022-01-09,Milk Based,8.0,5,0.0,0.0
2022-01-09,Other,1.0,1,0.0,0.0
2022-01-09,Signature,4.0,1,0.0,0.0
2022-01-09,Signature Based,1.0,1,0.0,0.0
2022-01-09,Snack,10.0,5,0.0,0.0
2022-01-09,Tea Based,7.0,3,0.0,0.0
2022-01-09,Toast,2.0,1,0.0,0.0
2022-01-10,Coffee Based,4.0,2,0.0,0.0
2022-01-10,Espresso Based,2.0,2,0.0,0.0
