Date,Item,Quantity_Sold
2022-01-01,Ajeng Hot,3.0
2022-01-01,Arunika,1.0
2022-01-01,Basreng,2.0
2022-01-01,Kentang Goreng,1.0
2022-01-01,Kinasih,1.0
2022-01-01,Kirana,1.0
2022-01-01,Lemon Hot,1.0
2022-01-01,Nasi Goreng Jawa,1.0
2022-01-01,Roti Bakar Klasik,2.0
2022-01-01,Tahu Tuna,1.0
2022-01-01,Tubruk,2.0
2022-01-01,Tubruk Susu,2.0
2022-01-01,Vietnam Drip,2.0
2022-01-01,Waffle Matcha,1.0
2022-01-02,Coklat Ice,1.0
2022-01-02,Kentang Goreng,1.0
2022-01-02,Kinasih,2.0
2022-01-02,Kirana,1.0
2022-01-02,Lemon Hot,1.0
2022-01-02,Matcha Ice,1.0
2022-01-02,Roti Bakar Coklat,1.0
2022-01-02,Tahu Tuna,1.0
2022-01-02,Tubruk,1.0
2022-01-02,Tubruk Susu,1.0
2022-01-02,Vietnam Drip,4.0
2022-01-02,v60,3.0
2022-01-03,Ajeng Hot,1.0
2022-01-03,Cappucino,2.0
2022-01-03,Coklat Ice,1.0
2022-01-03,Latte Hot,1.0
2022-01-03,Lemon Ice,1.0
2022-01-03,Lychee Tea Ice,2.0
2022-01-03,Matcha Ice,2.0
2022-01-03,Mie Rebus,4.0
2022-01-03,Milk Tea Hot,3.0
2022-01-03,Nasi Gila,3.0
2022-01-03,Pizza Mie,1.0
2022-01-03,Vietnam Drip,2.0
2022-01-03,v60,2.0
2022-01-04,Ajeng Hot,1.0
2022-01-04,Ajeng Ice,1.0
2022-01-04,Basreng,1.0
2022-01-04,Cappucino,1.0
2022-01-04,Coklat Hot,1.0
2022-01-04,Coklat Ice,1.0
2022-01-04,Kinasih,5.0
2022-01-04,Kirana,3.0
2022-01-04,Kopi Susu Hot,2.0
2022-01-04,Lemon Hot,4.0
2022-01-04,Lemon Ice,1.0
2022-01-04,Milk Tea Hot,2.0
2022-01-04,Nasi Gila,2.0
2022-01-04,Nasi Goreng Jawa,3.0
2022-01-04,Pizza Mie,1.0
2022-01-04,Red Velvet Ice,1.0
2022-01-04,Roti Bakar Coklat,1.0
2022-01-04,Roti Bakar Strawberry,2.0
2022-01-04,Singkong Keju,1.0
2022-01-04,Taro Ice,2.0
2022-01-04,Tubruk,2.0
2022-01-04,Tubruk Susu,1.0
2022-01-04,v60,1.0
2022-01-05,Ajeng Hot,3.0
2022-01-05,Ajeng Ice,1.0
2022-01-05,Basreng,2.0
2022-01-05,Black Ice,1.0
2022-01-05,Coklat Ice,2.0
2022-01-05,Kentang Goreng,1.0
2022-01-05,Kopi Susu Ice,2.0
2022-01-05,Lemon Hot,2.0
2022-01-05,Lychee Tea Hot,1.0
2022-01-05,Lychee Tea Ice,1.0
2022-01-05,Matcha Ice,2.0
2022-01-05,Mie Goreng,3.0
2022-01-05,Nasi Gila,1.0
2022-01-05,Nasi Goreng Jawa,1.0
2022-01-05,Red Velvet Ice,1.0
2022-01-05,Roti Bakar Strawberry,1.0
2022-01-05,Singkong Keju,1.0
2022-01-05,Tahu Tuna,2.0
2022-01-05,Terpesona,1.0
2022-01-05,Tubruk,2.0
2022-01-05,v60,2.0
2022-01-06,Ajeng Hot,2.0
2022-01-06,Basreng,1.0
2022-01-06,Black Hot,1.0
2022-01-06,Black Ice,2.0
2022-01-06,Cappucino,1.0
2022-01-06,Donat,1.0
2022-01-06,Kentang Goreng,3.0
2022-01-06,Kirana,1.0
2022-01-06,Kopi Susu Hot,1.0
2022-01-06,Lemon Hot,3.0
2022-01-06,Matcha Hot,3.0
2022-01-06,Singkong Keju,2.0
2022-01-06,Tahu Tuna,2.0
2022-01-06,Tubruk,2.0
2022-01-06,Tubruk Susu,1.0
2022-01-06,Vietnam Drip,1.0
2022-01-06,Waffle Strawberry,1.0
2022-01-06,v60,1.0
2022-01-07,Ajeng Hot,1.0
2022-01-07,Black Ice,1.0
2022-01-07,Kentang Goreng,2.0
2022-01-07,Kinasih,2.0
2022-01-07,Lemon Ice,1.0
2022-01-07,Mie Goreng,1.0
2022-01-07,Mie Rebus,1.0
2022-01-07,Milk Tea Hot,2.0
2022-01-07,Nasi Goreng Jawa,1.0
2022-01-07,Red Velvet Ice,1.0
2022-01-07,Singkong Keju,2.0
2022-01-07,Tubruk Susu,1.0
2022-01-07,Vietnam Drip,1.0
2022-01-07,Waffle Vanilla,1.0
2022-01-07,v60,1.0
2022-01-08,Ajeng Ice,1.0
2022-01-08,Basreng,2.0
2022-01-08,Black Ice,1.0
2022-01-08,Cappucino,3.0
2022-01-08,Coklat Hot,2.0
2022-01-08,Kinasih,2.0
2022-01-08,Kirana,4.0
2022-01-08,Kopi Susu Hot,1.0
2022-01-08,Kopi Susu Ice,2.0
2022-01-08,Lychee Tea Hot,1.0
2022-01-08,Lychee Tea Ice,2.0
