Date,Item,Time_Period,Quantity_Sold
2022-01-01,Ajeng Hot,13:00-18:00,1.0
2022-01-01,Kentang Goreng,13:00-18:00,1.0
2022-01-01,Nasi Goreng Jawa,13:00-18:00,1.0
2022-01-01,Roti Bakar Klasik,13:00-18:00,1.0
2022-01-01,Ajeng Hot,18:00-24:00,2.0
2022-01-01,Arunika,18:00-24:00,1.0
2022-01-01,Basreng,18:00-24:00,2.0
2022-01-01,Kinasih,18:00-24:00,1.0
2022-01-01,Kirana,18:00-24:00,1.0
2022-01-01,Lemon Hot,18:00-24:00,1.0
2022-01-01,Roti Bakar Klasik,18:00-24:00,1.0
2022-01-01,Tahu Tuna,18:00-24:00,1.0
2022-01-01,Tubruk,18:00-24:00,2.0
2022-01-01,Tubruk Susu,18:00-24:00,2.0
2022-01-01,Vietnam Drip,18:00-24:00,2.0
2022-01-01,Waffle Matcha,18:00-24:00,1.0
2022-01-02,Tubruk Susu,08:00-13:00,1.0
2022-01-02,V60,08:00-13:00,1.0
2022-01-02,Vietnam Drip,08:00-13:00,2.0
2022-01-02,Coklat Ice,13:00-18:00,1.0
2022-01-02,Kentang Goreng,13:00-18:00,1.0
2022-01-02,Kinasih,13:00-18:00,2.0
2022-01-02,Kirana,13:00-18:00,1.0
2022-01-02,Matcha Ice,13:00-18:00,1.0
2022-01-02,Tahu Tuna,13:00-18:00,1.0
2022-01-02,V60,13:00-18:00,1.0
2022-01-02,Vietnam Drip,13:00-18:00,1.0
2022-01-02,Lemon Hot,18:00-24:00,1.0
2022-01-02,Piccolo,18:00-24:00,2.0
2022-01-02,Roti Bakar Coklat,18:00-24:00,1.0
2022-01-02,Tubruk,18:00-24:00,1.0
2022-01-02,V60,18:00-24:00,1.0
2022-01-02,Vietnam Drip,18:00-24:00,1.0
2022-01-03,Cappucino,13:00-18:00,2.0
2022-01-03,Coklat Ice,13:00-18:00,1.0
2022-01-03,Lemon Ice,13:00-18:00,1.0
2022-01-03,Lychee Tea Ice,13:00-18:00,2.0
2022-01-03,Matcha Ice,13:00-18:00,2.0
2022-01-03,Mie Rebus,13:00-18:00,1.0
2022-01-03,Milk Tea Hot,13:00-18:00,2.0
2022-01-03,Nasi Gila,13:00-18:00,3.0
2022-01-03,Piccolo,13:00-18:00,1.0
2022-01-03,V60,13:00-18:00,2.0
