Date,Quantity,UniqueItemCount,Net sales,Gross sales
2022-01-01,21.0,14,0.0,0.0
2022-01-02,20.0,13,0.0,0.0
2022-01-03,26.0,14,0.0,0.0
2022-01-04,40.0,23,0.0,0.0
2022-01-05,32.0,20,0.0,0.0
2022-01-06,27.0,17,0.0,0.0
2022-01-07,19.0,15,0.0,0.0
2022-01-08,36.0,20,0.0,0.0
2022-01-09,53.0,26,0.0,0.0
2022-01-10,24.0,17,0.0,0.0
2022-01-11,23.0,16,0.0,0.0
2022-01-12,27.0,18,0.0,0.0
2022-01-13,29.0,17,0.0,0.0
2022-01-14,28.0,17,0.0,0.0
2022-01-15,18.0,12,0.0,0.0
2022-01-16,43.0,26,0.0,0.0
2022-01-17,27.0,17,0.0,0.0
2022-01-18,19.0,13,0.0,0.0
2022-01-19,26.0,16,0.0,0.0
2022-01-20,31.0,18,0.0,0.0
2022-01-21,29.0,22,0.0,0.0
2022-01-22,36.0,22,0.0,0.0
2022-01-23,34.0,18,0.0,0.0
2022-01-24,33.0,20,0.0,0.0
2022-01-25,32.0,19,0.0,0.0
2022-01-26,30.0,19,0.0,0.0
2022-01-27,22.0,16,0.0,0.0
2022-01-28,37.0,19,0.0,0.0
2022-01-29,37.0,23,0.0,0.0
2022-01-30,20.0,18,0.0,0.0
2022-01-31,60.0,16,0.0,0.0
2022-02-01,45.0,25,0.0,0.0
2022-02-02,37.0,21,0.0,0.0
2022-02-03,41.0,24,0.0,0.0
2022-02-04,23.0,16,0.0,0.0
2022-02-05,31.0,21,0.0,0.0
2022-02-06,23.0,16,0.0,0.0
2022-02-07,23.0,17,0.0,0.0
2022-02-08,34.0,20,0.0,0.0
2022-02-09,24.0,16,0.0,0.0
2022-02-10,19.0,14,0.0,0.0
2022-02-11,28.0,20,0.0,0.0
2022-02-12,37.0,21,0.0,0.0
2022-02-13,19.0,16,0.0,0.0
2022-02-14,41.0,22,0.0,0.0
2022-02-15,11.0,10,0.0,0.0
2022-02-16,35.0,15,0.0,0.0
2022-02-17,38.0,26,0.0,0.0
2022-02-18,23.0,14,0.0,0.0
2022-02-19,34.0,18,0.0,0.0
2022-02-20,35.0,22,0.0,0.0
2022-02-21,32.0,22,0.0,0.0
2022-02-22,18.0,12,0.0,0.0
2022-02-23,15.0,12,0.0,0.0
2022-02-24,39.0,22,0.0,0.0
2022-02-25,16.0,12,0.0,0.0
2022-02-26,28.0,20,0.0,0.0
2022-02-27,43.0,25,0.0,0.0
2022-02-28,54.0,28,0.0,0.0
2022-03-01,21.0,15,0.0,0.0
2022-03-02,42.0,23,0.0,0.0
2022-03-03,36.0,20,0.0,0.0
2022-03-04,22.0,14,0.0,0.0
2022-03-05,49.0,24,0.0,0.0
2022-03-06,30.0,18,0.0,0.0
2022-03-07,14.0,9,0.0,0.0
2022-03-08,30.0,15,0.0,0.0
2022-03-09,19.0,14,0.0,0.0
2022-03-10,28.0,14,0.0,0.0
2022-03-11,46.0,26,0.0,0.0
2022-03-12,72.0,30,0.0,0.0
2022-03-13,44.0,22,0.0,0.0
2022-03-14,27.0,13,0.0,0.0
2022-03-15,29.0,12,0.0,0.0
2022-03-16,21.0,14,0.0,0.0
2022-03-17,32.0,18,0.0,0.0
2022-03-18,15.0,10,0.0,0.0
2022-03-19,65.0,29,0.0,0.0
2022-03-20,32.0,25,0.0,0.0
2022-03-21,29.0,15,0.0,0.0
2022-03-22,31.0,19,0.0,0.0
2022-03-23,30.0,16,0.0,0.0
2022-03-24,24.0,15,0.0,0.0
2022-03-25,29.0,19,0.0,0.0
2022-03-26,32.0,22,0.0,0.0
2022-03-27,29.0,14,0.0,0.0
2022-03-28,32.0,21,0.0,0.0
2022-03-29,35.0,20,0.0,0.0
2022-03-30,31.0,15,0.0,0.0
2022-03-31,28.0,14,0.0,0.0
2022-04-01,32.0,21,0.0,0.0
2022-04-02,41.0,24,0.0,0.0
