support,itemsets
0.2719374456993918,frozenset({'Signature'})
0.2570807993049522,frozenset({'Coffee Base'})
0.13258036490008687,frozenset({'Other'})
0.3443961772371851,frozenset({'Tea'})
0.15847089487402258,frozenset({'Milk Base'})
0.3660295395308427,frozenset({'snack'})
0.08218940052128584,frozenset({'Roti bakar'})
0.2156385751520417,frozenset({'Maincourse'})
0.1310165073848827,frozenset({'Mie'})
0.09174630755864466,frozenset({'Specialty'})
0.22971329278887923,frozenset({'Espresso based'})
0.0893136403127715,frozenset({'Snack'})
0.032841007819287574,frozenset({'Coffee Based'})
0.05682015638575152,frozenset({'Main Course'})
0.047263249348392704,frozenset({'Espresso Based'})
0.039878366637706344,frozenset({'Milk Based'})
0.08279756733275413,frozenset({'Signature Based'})
0.05838401390095569,frozenset({'Tea Based'})
0.013292788879235448,frozenset({'Add kitchen'})
0.014943527367506516,frozenset({'Toast'})
0.014422241529105127,frozenset({'Signature kichen'})
0.07176368375325803,"frozenset({'Signature', 'Tea'})"
0.12797567332754126,"frozenset({'snack', 'Signature'})"
0.03197219808861859,"frozenset({'snack', 'Signature', 'Tea'})"
0.05586446568201564,"frozenset({'Signature', 'Coffee Base'})"
0.08714161598609904,"frozenset({'Tea', 'Coffee Base'})"
0.09869678540399653,"frozenset({'snack', 'Coffee Base'})"
0.02580364900086881,"frozenset({'snack', 'Signature', 'Coffee Base'})"
0.015204170286707211,"frozenset({'Signature', 'Tea', 'Coffee Base'})"
0.03240660295395308,"frozenset({'snack', 'Tea', 'Coffee Base'})"
0.048740225890529974,"frozenset({'Signature', 'Other'})"
0.04474370112945265,"frozenset({'Coffee Base', 'Other'})"
0.05751520417028671,"frozenset({'snack', 'Other'})"
0.05499565595134665,"frozenset({'Tea', 'Other'})"
0.03058210251954822,"frozenset({'Milk Base', 'Other'})"
0.028670721112076455,"frozenset({'Other', 'Maincourse'})"
0.029278887923544744,"frozenset({'Espresso based', 'Other'})"
0.02432667245873154,"frozenset({'snack', 'Signature', 'Other'})"
0.015464813205907906,"frozenset({'Signature', 'Tea', 'Other'})"
0.012510860121633362,"frozenset({'Signature', 'Coffee Base', 'Other'})"
0.02059079061685491,"frozenset({'snack', 'Coffee Base', 'Other'})"
0.017549956559513465,"frozenset({'Tea', 'Coffee Base', 'Other'})"
0.025629887054735012,"frozenset({'snack', 'Tea', 'Other'})"
0.012423979148566465,"frozenset({'Tea', 'Milk Base', 'Other'})"
0.015986099044309296,"frozenset({'snack', 'Milk Base', 'Other'})"
0.010599478714161599,"frozenset({'Signature', 'Milk Base', 'Other'})"
0.015638575152041704,"frozenset({'Other', 'Tea', 'Maincourse'})"
0.013987836663770634,"frozenset({'snack', 'Other', 'Maincourse'})"
0.014682884448305821,"frozenset({'Other', 'Maincourse', 'Signature'})"
0.013814074717636838,"frozenset({'snack', 'Espresso based', 'Other'})"
0.011642050390964378,"frozenset({'Tea', 'Espresso based', 'Other'})"
0.14100781928757603,"frozenset({'snack', 'Tea'})"
0.043266724587315376,"frozenset({'Signature', 'Milk Base'})"
0.04170286707211121,"frozenset({'Milk Base', 'Coffee Base'})"
0.03101650738488271,"frozenset({'Milk Base', 'Maincourse'})"
0.05056472632493484,"frozenset({'Tea', 'Milk Base'})"
0.07410947002606429,"frozenset({'snack', 'Milk Base'})"
0.028323197219808863,"frozenset({'Milk Base', 'Espresso based'})"
0.010947002606429192,"frozenset({'Tea', 'Signature', 'Milk Base'})"
