support,itemsets
0.013910820362433267,frozenset({'Add Espresso'})
0.015339499210466952,frozenset({'Add Ice Cream Vanilla'})
0.024212346792991956,frozenset({'Add Telur'})
0.017369727047146403,frozenset({'Affogato'})
0.02947590044364238,frozenset({'Ajeng Hot'})
0.013910820362433267,frozenset({'Ajeng Ice'})
0.013910820362433267,frozenset({'Anindya Hot'})
0.007970524099556358,frozenset({'Anindya Ice'})
0.045717723137077976,frozenset({'Arunika'})
0.005940296262876908,frozenset({'Ayam Chili Padi'})
0.04007820136852395,frozenset({'Ayam Curry'})
0.022182118956312506,frozenset({'Ayam Daun Jeruk'})
0.02270847432137755,frozenset({'Ayam Mentega'})
0.030077449432288142,frozenset({'Ayam Teriyaki'})
0.005865102639296188,frozenset({'Ayam cabe garam'})
0.016016241822693435,frozenset({'Ayam chili padi'})
0.010376720054139409,frozenset({'Ayam rempah'})
0.13858184825926761,frozenset({'Basreng'})
0.010376720054139409,frozenset({'Black Hot'})
0.018723212271599367,frozenset({'Black Ice'})
0.05421460260169938,frozenset({'Cappucino'})
0.019099180389502972,frozenset({'Cappucino Ice'})
0.005639521768554027,frozenset({'Cheese Cake'})
0.0801564027370479,frozenset({'Cireng'})
0.04188284833446124,frozenset({'Coklat Hot'})
0.010075945559816528,frozenset({'Coklat Ice'})
0.04880066170388751,frozenset({'Coklat ice'})
0.04120610572223476,frozenset({'Donat'})
0.013234077750206782,frozenset({'Espresso'})
0.005113166403488984,frozenset({'Espresso Bon-Bon'})
0.05308669824798857,frozenset({'Husgendam Hot'})
0.04985337243401759,frozenset({'Husgendam Ice'})
0.020302278366794498,frozenset({'Kentang Goreng'})
0.1152718249492443,frozenset({'Kentang goreng'})
0.09542070832393414,frozenset({'Kinasih'})
0.053913828107376494,frozenset({'Kirana'})
0.0461688848785623,frozenset({'Kopi Susu Hot'})
0.02338521693360403,frozenset({'Kopi Susu Ice'})
0.15647793067147905,frozenset({'Kopi susu ice'})
0.017820888788630723,frozenset({'Latte Hot'})
0.010752688172043012,frozenset({'Latte Ice'})
0.06083164147680277,frozenset({'Lemon Hot'})
0.06586961425671103,frozenset({'Lemon Ice'})
0.007143394240168434,frozenset({'Lychee Tea Hot'})
0.022633280697796826,frozenset({'Lychee Tea Ice'})
0.1170764719151816,frozenset({'Lychee Tea ice'})
0.03015264305586886,frozenset({'Lychee tea hot'})
0.02300924881570043,frozenset({'Matcha Hot'})
0.011279043537108053,frozenset({'Matcha Ice'})
0.05459057071960298,frozenset({'Matcha ice'})
0.05857583276938116,frozenset({'Mie Goreng'})
0.02737047898338221,frozenset({'Mie Rebus'})
0.02090382735544026,frozenset({'Mie goreng'})
0.013234077750206782,frozenset({'Mie rebus'})
0.05000375968117904,frozenset({'Milk Tea Hot'})
0.04744717647943454,frozenset({'Milk Tea Ice'})
0.03225806451612903,frozenset({'Nasi Cumi Asin'})
0.008045717723137079,frozenset({'Nasi Gila'})
0.055944055944055944,frozenset({'Nasi Goreng Jawa'})
0.05692157305060531,frozenset({'Nasi gila'})
0.03225806451612903,frozenset({'Nirmala Hot'})
0.02278366794495827,frozenset({'Nirmala Ice'})
0.02534025114670276,frozenset({'Panacotta'})
0.01240694789081886,frozenset({'Piccolo'})
0.01706895255282352,frozenset({'Pisang Goreng Aren'})
0.021580569967666743,frozenset({'Pisang goreng aren'})
0.012256560643657419,frozenset({'Pizza Mie'})
0.006541845251522671,frozenset({'Rayu'})
0.0125573351379803,frozenset({'Red Velvet Ice'})
0.029927062185126703,frozenset({'Red Velvet ice'})
0.005639521768554027,frozenset({'Roti Bakar Coklat'})
0.02323482968644259,frozenset({'Roti Bakar Keju'})
0.04895104895104895,frozenset({'Roti bakar coklat'})
0.018121663282953605,frozenset({'Roti bakar klasik'})
0.009023234829686443,frozenset({'Roti bakar strawberry'})
0.007594555981652756,frozenset({'Singkong Keju'})
0.04398826979472141,frozenset({'Singkong keju'})
0.011128656289946613,frozenset({'Tahu Tuna'})
0.06120760959470637,frozenset({'Tahu tuna'})
0.013158884126626063,frozenset({'Taro Hot'})
0.02594180013534852,frozenset({'Taro ice'})
0.015113918339724792,frozenset({'Tempe Mendoan'})
0.01902398676592225,frozenset({'Tempe mendoan'})
0.018347244153695767,frozenset({'Terpesona'})
0.09820287239642078,frozenset({'Tubruk'})
0.08038198360779006,frozenset({'Tubruk Susu'})
0.037296037296037296,frozenset({'V60'})
0.010827881795623731,frozenset({'Vietnam Drip'})
0.08158508158508158,frozenset({'Vietnam drip'})
0.010827881795623731,frozenset({'Waffle Matcha'})
0.015941048199112715,frozenset({'Waffle Strawberry'})
0.005263553650650425,frozenset({'Waffle Vanilla'})
0.030528611173772466,frozenset({'Waffle vanilla'})
0.006842619745845552,frozenset({'add Keju'})
