support,itemsets
0.08134044173648133,frozenset({'Tubruk Susu'})
0.061995430312262,frozenset({'Tahu tuna'})
0.04485910129474486,frozenset({'Arunika'})
0.09900990099009901,frozenset({'Tubruk'})
0.010967250571210967,frozenset({'Waffle Matcha'})
0.09642041127189642,frozenset({'Kinasih'})
0.08263518659558264,frozenset({'Vietnam drip'})
0.054455445544554455,frozenset({'Kirana'})
0.029855293221629855,frozenset({'Ajeng Hot'})
0.03777608530083778,frozenset({'V60'})
0.04912414318354912,frozenset({'Coklat ice'})
0.05498857578065499,frozenset({'Matcha ice'})
0.11675552170601676,frozenset({'Kentang goreng'})
0.061462300076161464,frozenset({'Lemon Hot'})
0.012566641279512566,frozenset({'Piccolo'})
0.04927646610814928,frozenset({'Roti bakar coklat'})
0.11843107387661843,frozenset({'Lychee Tea ice'})
0.0575019040365575,frozenset({'Nasi gila'})
0.05422696115765423,frozenset({'Cappucino'})
0.027646610814927648,frozenset({'Mie Rebus'})
0.05620715917745621,frozenset({'Nasi Goreng Jawa'})
0.04676313785224676,frozenset({'Kopi Susu Hot'})
0.008987052551408987,frozenset({'Roti bakar strawberry'})
0.04242193450114242,frozenset({'Coklat Hot'})
0.03015993907083016,frozenset({'Red Velvet ice'})
0.026275704493526276,frozenset({'Taro ice'})
0.01408987052551409,frozenset({'Ajeng Ice'})
0.04447829398324448,frozenset({'Singkong keju'})
0.13914699162223915,frozenset({'Basreng'})
0.05057121096725057,frozenset({'Milk Tea Hot'})
0.012414318354912414,frozenset({'Pizza Mie'})
0.05856816450875857,frozenset({'Mie Goreng'})
0.03054074638233054,frozenset({'Lychee tea hot'})
0.018583396801218583,frozenset({'Terpesona'})
0.1581111957349581,frozenset({'Kopi susu ice'})
0.023229246001523228,frozenset({'Matcha Hot'})
0.016146230007616145,frozenset({'Waffle Strawberry'})
0.041736481340441736,frozenset({'Donat'})
0.010434120335110434,frozenset({'Black Hot'})
0.03092155369383092,frozenset({'Waffle vanilla'})
0.06626047220106626,frozenset({'Lemon Ice'})
0.018126428027418127,frozenset({'Roti bakar klasik'})
0.019345011424219346,frozenset({'Cappucino Ice'})
0.012718964204112719,frozenset({'Red Velvet Ice'})
0.02102056359482102,frozenset({'Mie goreng'})
0.013328255902513329,frozenset({'Taro Hot'})
0.017593297791317592,frozenset({'Affogato'})
0.05376999238385377,frozenset({'Husgendam Hot'})
0.013404417364813405,frozenset({'Mie rebus'})
0.013328255902513329,frozenset({'Espresso'})
0.018050266565118052,frozenset({'Latte Hot'})
0.01089108910891089,frozenset({'Latte Ice'})
0.018735719725818736,frozenset({'Black Ice'})
0.030464584920030464,frozenset({'Ayam Teriyaki'})
0.08111195734958111,frozenset({'Cireng'})
0.023533891850723535,frozenset({'Roti Bakar Keju'})
0.03198781416603199,frozenset({'Nirmala Hot'})
0.040594059405940595,frozenset({'Ayam Curry'})
0.013937547600913938,frozenset({'Anindya Hot'})
0.008073115003808072,frozenset({'Anindya Ice'})
0.047753236862147753,frozenset({'Milk Tea Ice'})
0.032673267326732675,frozenset({'Nasi Cumi Asin'})
0.02513328255902513,frozenset({'Panacotta'})
0.01051028179741051,frozenset({'Ayam rempah'})
0.005178979436405179,frozenset({'Espresso Bon-Bon'})
0.02284843869002285,frozenset({'Ayam Mentega'})
0.05026656511805026,frozenset({'Husgendam Ice'})
0.022696115765422697,frozenset({'Nirmala Ice'})
0.016146230007616145,frozenset({'Ayam chili padi'})
0.019573495811119574,frozenset({'v60'})
0.02246763137852247,frozenset({'Ayam Daun Jeruk'})
0.02185833968012186,frozenset({'Pisang goreng aren'})
0.019268849961919268,frozenset({'Tempe mendoan'})
0.01728865194211729,frozenset({'Pisang Goreng Aren'})
0.011271896420411272,frozenset({'Matcha Ice'})
0.008149276466108149,frozenset({'Nasi Gila'})
0.005940594059405941,frozenset({'Ayam Chili Padi'})
0.02361005331302361,frozenset({'Kopi Susu Ice'})
0.011271896420411272,frozenset({'Tahu Tuna'})
0.02277227722772277,frozenset({'Lychee Tea Ice'})
0.020563594821020565,frozenset({'Kentang Goreng'})
0.01012947448591013,frozenset({'Coklat Ice'})
0.0054836252856054835,frozenset({'Roti Bakar Coklat'})
0.0072353389185072356,frozenset({'Lychee Tea Hot'})
0.015308453922315309,frozenset({'Tempe Mendoan'})
0.007692307692307693,frozenset({'Singkong Keju'})
0.010967250571210967,frozenset({'Vietnam Drip'})
0.018507235338918508,frozenset({'kasmaran'})
0.005026656511805026,frozenset({'Rindu'})
0.00654988575780655,frozenset({'Rayu'})
0.010967250571210967,frozenset({'mesra'})
0.005331302361005331,frozenset({'Waffle Vanilla'})
0.005864432597105864,frozenset({'Ayam cabe garam'})
0.0057121096725057125,frozenset({'Cheese Cake'})
0.009444021325209445,"frozenset({'Tubruk Susu', 'Vietnam drip'})"
0.012033511043412033,"frozenset({'Tubruk', 'Tubruk Susu'})"
0.011424219345011425,"frozenset({'Tubruk Susu', 'Kentang goreng'})"
0.005255140898705255,"frozenset({'Tubruk Susu', 'Kinasih'})"
0.007844630616907844,"frozenset({'Kopi susu ice', 'Tubruk Susu'})"
0.006854531607006854,"frozenset({'Tubruk Susu', 'Basreng'})"
0.005788271134805788,"frozenset({'Lychee Tea ice', 'Tubruk Susu'})"
0.012261995430312263,"frozenset({'Tahu tuna', 'Kentang goreng'})"
0.008682406702208682,"frozenset({'Tahu tuna', 'Lychee Tea ice'})"
0.007692307692307693,"frozenset({'Tubruk', 'Tahu tuna'})"
0.00753998476770754,"frozenset({'Tahu tuna', 'Basreng'})"
0.0070068545316070065,"frozenset({'Tahu tuna', 'Vietnam drip'})"
0.007463823305407464,"frozenset({'Tahu tuna', 'Kinasih'})"
0.00913937547600914,"frozenset({'Tahu tuna', 'Kopi susu ice'})"
0.0077684691546077685,"frozenset({'Tahu tuna', 'Cireng'})"
0.005026656511805026,"frozenset({'Arunika', 'Kentang goreng'})"
0.00891089108910891,"frozenset({'Arunika', 'Basreng'})"
0.010814927646610815,"frozenset({'Tubruk', 'Kopi susu ice'})"
0.007083015993907083,"frozenset({'Tubruk', 'Basreng'})"
0.011652703731911653,"frozenset({'Tubruk', 'Kentang goreng'})"
0.008301599390708302,"frozenset({'Tubruk', 'Lychee Tea ice'})"
0.005026656511805026,"frozenset({'Tubruk', 'Kinasih'})"
0.012033511043412033,"frozenset({'Kinasih', 'Kentang goreng'})"
0.013632901751713633,"frozenset({'Kinasih', 'Basreng'})"
0.009291698400609292,"frozenset({'Kopi susu ice', 'Kinasih'})"
0.0062452399086062454,"frozenset({'Lychee Tea ice', 'Kinasih'})"
0.008377760853008377,"frozenset({'Tubruk', 'Vietnam drip'})"
0.005026656511805026,"frozenset({'Vietnam drip', 'Kinasih'})"
0.01348057882711348,"frozenset({'Vietnam drip', 'Kentang goreng'})"
0.009977151561309978,"frozenset({'Kopi susu ice', 'Vietnam drip'})"
0.007920792079207921,"frozenset({'Vietnam drip', 'Basreng'})"
0.005864432597105864,"frozenset({'Lychee Tea ice', 'Vietnam drip'})"
0.007159177456207159,"frozenset({'Kinasih', 'Kirana'})"
0.008834729626808835,"frozenset({'Basreng', 'Kirana'})"
0.007616146230007616,"frozenset({'Kentang goreng', 'Kirana'})"
0.00654988575780655,"frozenset({'Tahu tuna', 'Kirana'})"
0.007083015993907083,"frozenset({'Cireng', 'Kirana'})"
0.005102817974105103,"frozenset({'Kentang goreng', 'Ajeng Hot'})"
0.007463823305407464,"frozenset({'Kentang goreng', 'V60'})"
0.005407463823305408,"frozenset({'Kinasih', 'Coklat ice'})"
0.005331302361005331,"frozenset({'Matcha ice', 'Coklat ice'})"
0.007083015993907083,"frozenset({'Basreng', 'Coklat ice'})"
0.006778370144706778,"frozenset({'Lychee Tea ice', 'Coklat ice'})"
0.012185833968012186,"frozenset({'Kentang goreng', 'Coklat ice'})"
0.006092916984006093,"frozenset({'Kopi susu ice', 'Coklat ice'})"
0.006397562833206398,"frozenset({'Cireng', 'Coklat ice'})"
0.005864432597105864,"frozenset({'Kinasih', 'Matcha ice'})"
0.009291698400609292,"frozenset({'Matcha ice', 'Basreng'})"
0.011576542269611577,"frozenset({'Kentang goreng', 'Matcha ice'})"
0.005940594059405941,"frozenset({'Lychee Tea ice', 'Matcha ice'})"
