Date_Only,Category,Quantity,Net sales,Gross sales,UniqueItemCount,Date,Year,Month,Day,DayOfWeek,DayOfWeekName,WeekOfYear,Quarter,DayOfYear,IsWeekend,MonthProgress
2022-01-01,Artisan Tea,3.0,45000.0,45000.0,1,2022-01-01,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Coffee Based,6.0,74000.0,74000.0,3,2022-01-01,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Main Course,1.0,20000.0,20000.0,1,2022-01-01,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Signature,1.0,25000.0,25000.0,1,2022-01-01,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Signature Based,3.0,63000.0,63000.0,3,2022-01-01,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Snack,4.0,56000.0,56000.0,3,2022-01-01,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Tea Based,1.0,12000.0,12000.0,1,2022-01-01,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Toast,2.0,20000.0,20000.0,1,2022-01-01,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-02,Coffee Based,9.0,162000.0,162000.0,4,2022-01-02,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Milk Based,2.0,40000.0,40000.0,2,2022-01-02,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Signature Based,3.0,71000.0,71000.0,2,2022-01-02,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Snack,2.0,30000.0,30000.0,2,2022-01-02,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Tea Based,1.0,12000.0,12000.0,1,2022-01-02,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Toast,1.0,10000.0,10000.0,1,2022-01-02,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-03,Artisan Tea,1.0,15000.0,15000.0,1,2022-01-03,2022,1,3,0,Monday,1,1,3,0,0.0967741935483871
2022-01-03,Coffee Based,4.0,66000.0,66000.0,2,2022-01-03,2022,1,3,0,Monday,1,1,3,0,0.0967741935483871
2022-01-03,Espresso Based,3.0,71000.0,71000.0,2,2022-01-03,2022,1,3,0,Monday,1,1,3,0,0.0967741935483871
2022-01-03,Main Course,3.0,63000.0,63000.0,1,2022-01-03,2022,1,3,0,Monday,1,1,3,0,0.0967741935483871
2022-01-03,Mie,5.0,90000.0,90000.0,2,2022-01-03,2022,1,3,0,Monday,1,1,3,0,0.0967741935483871
2022-01-03,Milk Based,3.0,60000.0,60000.0,2,2022-01-03,2022,1,3,0,Monday,1,1,3,0,0.0967741935483871
2022-01-03,Tea Based,6.0,87000.0,87000.0,3,2022-01-03,2022,1,3,0,Monday,1,1,3,0,0.0967741935483871
2022-01-04,Artisan Tea,2.0,30000.0,30000.0,2,2022-01-04,2022,1,4,1,Tuesday,1,1,4,0,0.12903225806451613
2022-01-04,Coffee Based,4.0,50000.0,50000.0,3,2022-01-04,2022,1,4,1,Tuesday,1,1,4,0,0.12903225806451613
2022-01-04,Espresso Based,1.0,23000.0,23000.0,1,2022-01-04,2022,1,4,1,Tuesday,1,1,4,0,0.12903225806451613
2022-01-04,Main Course,5.0,102000.0,102000.0,2,2022-01-04,2022,1,4,1,Tuesday,1,1,4,0,0.12903225806451613
2022-01-04,Mie,1.0,18000.0,18000.0,1,2022-01-04,2022,1,4,1,Tuesday,1,1,4,0,0.12903225806451613
2022-01-04,Milk Based,5.0,100000.0,100000.0,4,2022-01-04,2022,1,4,1,Tuesday,1,1,4,0,0.12903225806451613
