Date_Only,Item,Category,Quantity,Net sales,Gross sales,Year,Month,Day,DayOfWeek,DayOfWeekName,WeekOfYear,Quarter,DayOfYear,IsWeekend,MonthProgress
2022-01-01,Arunika,beverage,1.0,15000.0,15000.0,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Basreng,food,2.0,26000.0,26000.0,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Kentang,food,1.0,15000.0,15000.0,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Kinasih,beverage,1.0,23000.0,23000.0,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Kirana,beverage,1.0,25000.0,25000.0,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Lemon Tea Hot,beverage,1.0,12000.0,12000.0,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Nasi Goreng Jawa,food,1.0,20000.0,20000.0,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Puspa Matcha,food,1.0,25000.0,25000.0,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Tahu Tuna,food,1.0,15000.0,15000.0,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Tubruk,beverage,4.0,44000.0,44000.0,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-01,Vietnam Drip,beverage,2.0,30000.0,30000.0,2022,1,1,5,Saturday,52,1,1,1,0.03225806451612903
2022-01-02,Chocolate Ice,beverage,1.0,20000.0,20000.0,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Espresso,beverage,2.0,36000.0,36000.0,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Filter,beverage,3.0,80000.0,80000.0,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Kentang,food,1.0,15000.0,15000.0,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Kinasih,beverage,2.0,46000.0,46000.0,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Kirana,beverage,1.0,25000.0,25000.0,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Lemon Tea Hot,beverage,1.0,12000.0,12000.0,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Matcha Ice,beverage,1.0,20000.0,20000.0,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Tahu Tuna,food,1.0,15000.0,15000.0,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Tubruk,beverage,2.0,22000.0,22000.0,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-02,Vietnam Drip,beverage,4.0,60000.0,60000.0,2022,1,2,6,Sunday,52,1,2,1,0.06451612903225806
2022-01-03,Cappucino Hot,beverage,2.0,46000.0,46000.0,2022,1,3,0,Monday,1,1,3,0,0.0967741935483871
2022-01-03,Chocolate Ice,beverage,1.0,20000.0,20000.0,2022,1,3,0,Monday,1,1,3,0,0.0967741935483871
2022-01-03,Espresso,beverage,1.0,18000.0,18000.0,2022,1,3,0,Monday,1,1,3,0,0.0967741935483871
2022-01-03,Filter,beverage,2.0,36000.0,36000.0,2022,1,3,0,Monday,1,1,3,0,0.0967741935483871
