Condiment,Condiment_Qty,Condiment_Unit,Sub_Ingredient,Qty_per_condiment_unit,Sub_Unit
BSJ - Acar Timun,820.00,gr,Bawang Merah,100.0000,gr
BSJ - Acar Timun,820.00,gr,Cabe Hijau,40.0000,gr
BSJ - Acar Timun,820.00,gr,Cuka Meja,80.0000,ml
BSJ - Acar Timun,820.00,gr,Garam,6.0000,gr
BSJ - Acar Timun,820.00,gr,Gula Pasir,21.0000,gr
BSJ - Acar Timun,820.00,gr,Jahe,10.0000,gr
BSJ - Acar Timun,820.00,gr,Nanas Kupas,220.0000,gr
BSJ - Acar Timun,820.00,gr,Serai,1.0000,batang
BSJ - Acar Timun,820.00,gr,Timun,400.0000,gr
BSJ - Acar Timun,820.00,gr,Wortel,200.0000,gr
BSJ - Ayam Slice 125gr,125.00,gr,Ayam Fillet,125.0000,gr
BSJ - Ayam Slice 125gr,125.00,gr,BSJ - Marinasi Ayam,125.0000,
BSJ - Ayam Slice 60gr,60.00,gr,Ayam Fillet,60.0000,gr
BSJ - Ayam Slice 60gr,60.00,gr,BSJ - Marinasi Ayam,60.0000,
BSJ - Bawang,1000.00,gr,Bawang Merah,500.0000,gr
BSJ - Bawang,1000.00,gr,Bawang Putih,500.0000,gr
BSJ - Bawang,1000.00,gr,Garam,25.0000,gr
BSJ - Bawang,1000.00,gr,Kemiri,50.0000,gr
BSJ - Blend 5050 - Bersemi,38.00,ml,Beans Blend 5050 - Bersemi,19.0000,gr
BSJ - Bumbu Basreng,150.00,gr,Cabe Bubuk,100.0000,gr
BSJ - Bumbu Basreng,150.00,gr,MSG (Royco/Masako),50.0000,gr
BSJ - Bumbu Cireng,500.00,gr,Asem,70.0000,gr
BSJ - Bumbu Cireng,500.00,gr,BSJ - Larutan Maizena,10.0000,
BSJ - Bumbu Cireng,500.00,gr,Bawang Putih Bubuk,6.0000,gr
BSJ - Bumbu Cireng,500.00,gr,Cabe Rawit,70.0000,gr
BSJ - Bumbu Cireng,500.00,gr,Garam,1.0000,gr
BSJ - Bumbu Cireng,500.00,gr,Gula Pasir,5.0000,gr
BSJ - Bumbu Kunyit,12.00,porsi,Bawang Merah,1000.0000,gr
BSJ - Bumbu Kunyit,12.00,porsi,Bawang Putih,1000.0000,gr
BSJ - Bumbu Kunyit,12.00,porsi,Daun Jeruk,3.0000,gr
BSJ - Bumbu Kunyit,12.00,porsi,Garam,12.0000,gr
BSJ - Bumbu Kunyit,12.00,porsi,Gula Pasir,6.0000,gr
BSJ - Bumbu Kunyit,12.00,porsi,Jahe,20.0000,gr
BSJ - Bumbu Kunyit,12.00,porsi,Ketumbar,12.0000,gr
BSJ - Bumbu Kunyit,12.00,porsi,Kunyit,20.0000,gr
BSJ - Bumbu Kunyit,12.00,porsi,Lada Hitam Bubuk,6.0000,gr
BSJ - Bumbu Kunyit,12.00,porsi,MSG (Royco/Masako),12.0000,gr
BSJ - Butter Cream,7.00,porsi,Gula Halus,30.0000,gr
BSJ - Butter Cream,7.00,porsi,Mentega - Los Losan,100.0000,gr
BSJ - Butter Cream,7.00,porsi,SKM,40.0000,ml
BSJ - Butterscotch Caramel,400.00,gr,Gula Aren,75.0000,gr
BSJ - Butterscotch Caramel,400.00,gr,Gula Pasir,150.0000,gr
BSJ - Butterscotch Caramel,400.00,gr,Mentega - Los Losan,25.0000,gr
BSJ - Butterscotch Caramel,400.00,gr,Susu UHT/Freshmilk,100.0000,ml
BSJ - Cabe Garam,1100.00,gr,Bawang Merah,200.0000,gr
BSJ - Cabe Garam,1100.00,gr,Bawang Putih,500.0000,gr
BSJ - Cabe Garam,1100.00,gr,Cabe Hijau,120.0000,gr
BSJ - Cabe Garam,1100.00,gr,Cabe Merah,120.0000,gr
BSJ - Cabe Garam,1100.00,gr,Cabe Rawit,300.0000,gr
BSJ - Cabe Garam,1100.00,gr,Garam,20.0000,gr
BSJ - Cabe Garam,1100.00,gr,Gula Pasir,15.0000,gr
BSJ - Cabe Garam,1100.00,gr,Lada Hitam Bubuk,10.0000,gr
BSJ - Cabe Garam,1100.00,gr,MSG (Royco/Masako),10.0000,gr
BSJ - Cabe Garam,1100.00,gr,Micin,5.0000,gr
BSJ - Cabe Garam,1100.00,gr,Serai,1.0000,batang
BSJ - Creamer,2000.00,gr,Cleo Galon,2000.0000,ml
BSJ - Creamer,2000.00,gr,Creamer Bubuk,1000.0000,gr
BSJ - Creamer 1:3,3000.00,gr,Cleo Galon,3000.0000,ml
BSJ - Creamer 1:3,3000.00,gr,Creamer Bubuk,1000.0000,gr
BSJ - Daun Jeruk,1200.00,gr,Bawang Putih,600.0000,gr
BSJ - Daun Jeruk,1200.00,gr,Daun Jeruk,150.0000,gr
BSJ - Daun Jeruk,1200.00,gr,Garam,50.0000,gr
BSJ - Daun Jeruk,1200.00,gr,MSG (Royco/Masako),50.0000,gr
BSJ - Daun Jeruk,1200.00,gr,Mentega - Los Losan,500.0000,gr
BSJ - Espresso Arabika Double Ristrette,20.00,gr,Beans Arabika,20.0000,gr
BSJ - Espresso Arabika Double Ristrette,20.00,gr,Cleo Galon,30.0000,ml
BSJ - Espresso Arabika Husgendam,40.00,gr,Beans Arabika,19.0000,gr
BSJ - Espresso Arabika Husgendam,40.00,gr,Cleo Galon,30.0000,ml
BSJ - Espresso Arabika Kondimen Botol,60.00,gr,Beans Arabika,20.0000,gr
BSJ - Espresso Arabika Kondimen Botol,60.00,gr,Cleo Galon,60.0000,ml
BSJ - Espresso Blend Bersemi,18.00,gr,Beans Blend 5050 - Bersemi,20.0000,gr
BSJ - Espresso Blend Bersemi,18.00,gr,Cleo Galon,50.0000,ml
BSJ - Gula Aren Syrup,1000.00,ml,Cleo Galon,500.0000,ml
BSJ - Gula Aren Syrup,1000.00,ml,Garam,5.0000,gr
BSJ - Gula Aren Syrup,1000.00,ml,Gula Aren,1000.0000,gr
BSJ - Larutan Maizena,250.00,ml,Cleo Galon,225.0000,ml
BSJ - Larutan Maizena,250.00,ml,Tepung Maizena,70.0000,gr
BSJ - Marinasi Ayam,8000.00,gr,BSJ - Bawang,200.0000,
BSJ - Marinasi Ayam,8000.00,gr,Lada Hitam Bubuk,25.0000,gr
BSJ - Marinasi Ayam,8000.00,gr,MSG (Royco/Masako),75.0000,gr
BSJ - Marinasi Ayam,8000.00,gr,Saos Tiram,100.0000,ml
BSJ - Marinasi Ayam,8000.00,gr,Saos Tomat,250.0000,gr
BSJ - Matcha Cream,75.00,gr,Cleo Galon,50.0000,ml
BSJ - Matcha Cream,75.00,gr,Essence Matcha,6.0000,gr
BSJ - Matcha Cream,75.00,gr,Powder Matcha,6.0000,gr
BSJ - Matcha Cream,75.00,gr,Rich Creme,25.0000,gr
BSJ - Nasi,5000.00,gr,Beras,5000.0000,gr
BSJ - Pannacotta,3.00,cup,Cleo Galon,110.0000,ml
BSJ - Pannacotta,3.00,cup,Cleo Galon,135.0000,ml
BSJ - Pannacotta,3.00,cup,Dancow,20.0000,gr
BSJ - Pannacotta,3.00,cup,Gula Pasir,40.0000,gr
BSJ - Pannacotta,3.00,cup,Nutrijel Plain,8.0000,gr
BSJ - Pannacotta,3.00,cup,Susu UHT/Freshmilk,205.0000,ml
BSJ - Pisang Goreng Madu,1000.00,gr,Baking Powder,6.0000,gr
BSJ - Pisang Goreng Madu,1000.00,gr,Cleo Galon,120.0000,ml
BSJ - Pisang Goreng Madu,1000.00,gr,Garam,2.0000,gr
BSJ - Pisang Goreng Madu,1000.00,gr,Gula Pasir,10.0000,gr
BSJ - Pisang Goreng Madu,1000.00,gr,Madu,20.0000,gr
BSJ - Pisang Goreng Madu,1000.00,gr,Tepung Beras,20.0000,gr
BSJ - Pisang Goreng Madu,1000.00,gr,Tepung Maizena,10.0000,gr
BSJ - Pisang Goreng Madu,1000.00,gr,Tepung Segitiga Los-losan,160.0000,gr
BSJ - Pisang Goreng Madu,1000.00,gr,Vanili,5.0000,ml
BSJ - Pisang Goreng Madu,1000.00,gr,Wijen Hitam,2.0000,gr
BSJ - Potato Wedges,6.00,porsi,Bawang Putih Bubuk,5.0000,gr
BSJ - Potato Wedges,6.00,porsi,Garam,10.0000,gr
BSJ - Potato Wedges,6.00,porsi,Kentang Buah,1000.0000,gr
BSJ - Potato Wedges,6.00,porsi,Lada Hitam Bubuk,3.0000,gr
BSJ - Potato Wedges,6.00,porsi,MSG (Royco/Masako),5.0000,gr
BSJ - Sambal Bawang,1800.00,gr,Bawang Merah,300.0000,gr
BSJ - Sambal Bawang,1800.00,gr,Bawang Putih,500.0000,gr
BSJ - Sambal Bawang,1800.00,gr,Cabe Rawit,1000.0000,gr
BSJ - Sambal Bawang,1800.00,gr,Garam,30.0000,gr
BSJ - Sambal Bawang,1800.00,gr,Gula Pasir,25.0000,gr
BSJ - Sambal Bawang,1800.00,gr,MSG (Royco/Masako),30.0000,gr
BSJ - Sambal Bawang,1800.00,gr,Micin,10.0000,gr
BSJ - Sambal Bawang,1800.00,gr,Minyak Goreng,800.0000,ml
BSJ - Sayur Curry,2500.00,gr,Kentang Buah,1000.0000,gr
BSJ - Sayur Curry,2500.00,gr,Wortel,1500.0000,gr
BSJ - Simple Syrup,1000.00,ml,Cleo Galon,1000.0000,ml
BSJ - Simple Syrup,1000.00,ml,Gula Pasir,1000.0000,gr
BSJ - Strawberry Jam,2000.00,gr,Buah Strawberry,2000.0000,gr
BSJ - Strawberry Jam,2000.00,gr,Cleo Galon,1000.0000,ml
BSJ - Strawberry Jam,2000.00,gr,Gula Pasir,2000.0000,gr
BSJ - Teh,2000.00,gr,Cleo Galon,2000.0000,ml
BSJ - Teh,2000.00,gr,Teh 999,10.0000,pcs
BSJ - Teh,2000.00,gr,Teh Naga,1.0000,pcs
BSJ - Tempe Mendoan,1000.00,gr,Bawang Putih,8.0000,gr
BSJ - Tempe Mendoan,1000.00,gr,Cleo Galon,675.0000,ml
BSJ - Tempe Mendoan,1000.00,gr,Daun Bawang,150.0000,gr
BSJ - Tempe Mendoan,1000.00,gr,Garam,10.0000,gr
BSJ - Tempe Mendoan,1000.00,gr,Ketumbar,15.0000,gr
BSJ - Tempe Mendoan,1000.00,gr,Kunyit,50.0000,gr
BSJ - Tempe Mendoan,1000.00,gr,MSG (Royco/Masako),25.0000,gr
BSJ - Tempe Mendoan,1000.00,gr,Tepung Segitiga Los-losan,600.0000,gr
BSJ - Tepung Basah,500.00,gr,Cleo Galon,500.0000,ml
BSJ - Tepung Basah,500.00,gr,Lada Hitam Bubuk,3.0000,gr
BSJ - Tepung Basah,500.00,gr,MSG (Royco/Masako),15.0000,gr
BSJ - Tepung Basah,500.00,gr,Tepung Segitiga Los-losan,500.0000,gr
BSJ - Tepung Kering,570.00,gr,Baking Powder,5.0000,gr
BSJ - Tepung Kering,570.00,gr,Lada Hitam Bubuk,10.0000,gr
BSJ - Tepung Kering,570.00,gr,MSG (Royco/Masako),35.0000,gr
BSJ - Tepung Kering,570.00,gr,Tepung Maizena,20.0000,gr
BSJ - Tepung Kering,570.00,gr,Tepung Segitiga Los-losan,500.0000,gr
BSJ - Tepung Kulit,500.00,gr,Baking Powder,5.0000,gr
BSJ - Tepung Kulit,500.00,gr,Tepung Maizena,20.0000,gr
BSJ - Tepung Kulit,500.00,gr,Tepung Segitiga Los-losan,500.0000,gr
BSJ - Timun Slice,1.00,slice,Timun,10.0000,gr
BSJ - Waffle Base,30.00,pcs,BSJ - Simple Syrup,120.0000,
BSJ - Waffle Base,30.00,pcs,Baking Powder,6.0000,gr
BSJ - Waffle Base,30.00,pcs,Dancow,60.0000,gr
BSJ - Waffle Base,30.00,pcs,Garam,3.0000,gr
BSJ - Waffle Base,30.00,pcs,Mentega - Los Losan,190.0000,gr
BSJ - Waffle Base,30.00,pcs,Susu UHT/Freshmilk,500.0000,ml
BSJ - Waffle Base,30.00,pcs,Telur,8.0000,biji
BSJ - Waffle Base,30.00,pcs,Tepung Terigu Premium,500.0000,gr
BSJ - Waffle Base,30.00,pcs,Vanili,5.0000,ml
BSJ - Whipped Cream,450.00,gr,BSJ - Simple Syrup,60.0000,
BSJ - Whipped Cream,450.00,gr,Cleo Galon,200.0000,ml
BSJ - Whipped Cream,450.00,gr,Dancow,50.0000,gr
BSJ - Whipped Cream,450.00,gr,Gold Label,30.0000,ml
BSJ - Whipped Cream,450.00,gr,SKM,50.0000,ml
BSJ - Whipped Cream,450.00,gr,SP Riyoto,125.0000,gr
Kasmaran (Botol),1.00,botol,BSJ - Creamer 1:3,70.0000,
Kasmaran (Botol),1.00,botol,BSJ - Espresso Arabika Kondimen Botol,25.0000,
Kasmaran (Botol),1.00,botol,Botol Kosong,1.0000,pcs
Kasmaran (Botol),1.00,botol,Sirup Cheese,97.0000,ml
Kasmaran (Botol),1.00,botol,Sirup Strawberry,103.0000,ml
Kasmaran (Botol),1.00,botol,Stiker Kopi Botol,109.0000,pcs
Kasmaran (Botol),1.00,botol,Susu UHT/Freshmilk,112.0000,ml
Kenang (Botol),1.00,botol,BSJ - Creamer 1:3,70.0000,
Kenang (Botol),1.00,botol,BSJ - Espresso Arabika Kondimen Botol,30.0000,
Kenang (Botol),1.00,botol,Botol Kosong,1.0000,pcs
Kenang (Botol),1.00,botol,Madu,15.0000,gr
Kenang (Botol),1.00,botol,Sirup Jasmine,15.0000,ml
Kenang (Botol),1.00,botol,Susu UHT/Freshmilk,120.0000,ml
Rayu (Botol),1.00,botol,BSJ - Espresso Arabika Kondimen Botol,40.0000,
Rayu (Botol),1.00,botol,Botol Kosong,1.0000,pcs
Rayu (Botol),1.00,botol,Cleo Galon,160.0000,ml
Rayu (Botol),1.00,botol,Sirup Leci,15.0000,ml
Rayu (Botol),1.00,botol,Stiker Kopi Botol,1.0000,pcs
