Tipe,Item,Bahan,Qty,Unit
Coffee Based,Tubruk,Robusta,13.0,gr
Coffee Based,Tubruk,Air Cleo,170.0,ml
Coffee Based,Tubruk Susu,Robusta,13.0,gr
Coffee Based,Tubruk Susu,Air Cleo,130.0,ml
Coffee Based,Tubruk Susu,SKM,25.0,ml
Coffee Based,Vietnam Drip,Robusta,15.0,gr
Coffee Based,Vietnam Drip,Air Cleo,150.0,ml
Coffee Based,Vietnam Drip,SKM,25.0,ml
Coffee Based,v60,Arabika,15.0,gr
Coffee Based,v60,Air Cleo,200.0,ml
Milk Based,Coklat Hot,Powder Coklat,12.0,gr
Milk Based,Coklat Hot,BSJ -  Simple Syrup,10.0,ml
Milk Based,Coklat Hot,Susu Karton,140.0,ml
Milk Based,Coklat Hot,Powder Matcha,12.0,gr
Milk Based,Coklat Hot,BSJ -  Simple Syrup,10.0,ml
Milk Based,Coklat Hot,Susu Karton,140.0,ml
Milk Based,Matcha Hot,Powder Matcha,12.0,gr
Milk Based,Matcha Hot,BSJ -  Simple Syrup,10.0,ml
Milk Based,Matcha Hot,Susu Karton,140.0,ml
Milk Based,Red Velvet Hot,Powder RedVelvet,12.0,gr
Milk Based,Red Velvet Hot,BSJ -  Simple Syrup,10.0,ml
Milk Based,Red Velvet Hot,Susu Karton,140.0,ml
Milk Based,Taro Hot,Powder Taro,12.0,gr
Milk Based,Taro Hot,BSJ -  Simple Syrup,10.0,ml
Milk Based,Taro Hot,Susu Karton,140.0,ml
Milk Based,Coklat Ice,Powder Coklat,15.0,gr
Milk Based,Coklat Ice,BSJ -  Simple Syrup,20.0,ml
Milk Based,Coklat Ice,Susu Karton,70.0,ml
Milk Based,Coklat Ice,Es Batu,4.0,cubes
Milk Based,Coklat Ice,BSJ -  Creamer,50.0,gr
Milk Based,Coklat Ice,BSJ -  Whipped Cream,18.0,gr
Milk Based,Matcha Ice,Powder Matcha,15.0,gr
Milk Based,Matcha Ice,BSJ -  Simple Syrup,20.0,ml
Milk Based,Matcha Ice,Susu Karton,70.0,ml
Milk Based,Matcha Ice,Es Batu,4.0,cubes
Milk Based,Matcha Ice,BSJ -  Creamer,50.0,gr
Milk Based,Matcha Ice,BSJ -  Whipped Cream,18.0,gr
Milk Based,Taro Ice,Powder Taro,15.0,gr
Milk Based,Taro Ice,BSJ -  Simple Syrup,20.0,ml
Milk Based,Taro Ice,Susu Karton,70.0,ml
Milk Based,Taro Ice,Es Batu,4.0,cubes
Milk Based,Taro Ice,BSJ -  Creamer,50.0,gr
Milk Based,Taro Ice,BSJ -  Whipped Cream,18.0,gr
Milk Based,Red Velvet Ice,Powder Redvelvet,15.0,gr
Milk Based,Red Velvet Ice,BSJ -  Simple Syrup,20.0,ml
Milk Based,Red Velvet Ice,Susu Karton,70.0,ml
Milk Based,Red Velvet Ice,Es Batu,4.0,cubes
Milk Based,Red Velvet Ice,BSJ -  Creamer,50.0,gr
Milk Based,Red Velvet Ice,BSJ -  Whipped Cream,18.0,gr
Espresso Based,Espresso,Arabika,18.0,gr
Espresso Based,Espresso Bon-Bon,Blend 5050,18.0,gr
Espresso Based,Espresso Bon-Bon,SKM,25.0,ml
Espresso Based,Black Hot,Arabika,18.0,gr
Espresso Based,Black Hot,Air Cleo,150.0,ml
Espresso Based,Black Ice,Arabika,18.0,gr
Espresso Based,Black Ice,Air Cleo,100.0,ml
