item,r_lag1,r_lag7,partial_lag1_lag7,partial_lag7_lag1
Air Mineral,0.08611524543967783,0.045871358308794095,0.08237664503647375,0.038352141108309354
Anindita Honey Butter,0.03410940264650417,-0.13338913136721595,0.03121673075253923,-0.13269076580545108
Arunika,0.20677943677865887,0.1439258414956956,0.18771844781218883,0.11411385007364878
Basreng,0.00984175260797259,0.11479436088400148,0.01541387400342206,0.11539771094199021
Black Hot,0.1920018767393839,0.08096245172090831,0.18436147013139978,0.05990705821734376
Black Ice,0.11179076169676537,0.231153601128968,0.0868855974484061,0.2206559119628622
Candana Vanilla,-0.0917311374980032,-0.03752580563110425,-0.09270780091932089,-0.039869708577705124
Cappucino Hot,-0.0869428896421348,0.0011086117312642278,-0.08698561019372394,0.0029522747684335043
Cappucino Ice,0.028814189698927115,-0.1027354394618709,0.03618019529252264,-0.1050174278450424
Chocolate Hot,-0.0505378178921388,-0.058025680285242846,-0.05491124121308654,-0.06186903179381288
Chocolate Ice,-0.005843865015966827,0.06173765734400216,-0.010466545495112726,0.062343013514753104
Cireng,0.009076986872518707,0.006284681771866781,0.008835338159094843,0.005930307664172039
Cookies Original,-0.08918717207445687,-0.009626855871033872,-0.08868942509130942,-0.0018539632989264631
Donat,0.038464447286447274,-0.0023916222515401753,0.0398755322864494,-0.010790152365993583
Espresso,0.0015332895881066165,-0.006222730439477977,0.0017557499098347885,-0.006281244167756854
Husgendam Platter,0.061679612813218015,0.12655745819579722,0.051688147612541466,0.12205722487768554
Kasmaran,0.1581708607334839,0.11238492778762091,0.151624362362606,0.10284225952748384
Kenang,0.003882723973403286,-0.02988607701223603,0.00481081940676694,-0.030020642099620007
Kentang,0.13248932883855935,0.030284879946947885,0.13349245239199378,0.0344746952268453
Kinasih,0.1180920932625192,0.07717267256149751,0.10884043633963199,0.06196052739400617
Kirana,0.06260295152410038,-0.029248587562736978,0.06617596347443704,-0.03629082109738012
Kirana Strawberry,-0.06703109237619646,0.010626433232482586,-0.06809703086708731,0.016049707839494665
Kopi Susu Husgendam Hot,0.29746031003803963,0.19949079843395107,0.2711931562341943,0.15511885430270886
Kopi Susu Husgendam Ice,0.04280678488111376,0.15729083112375453,0.03588179518241148,0.15558918288073043
Latte Hot,-0.1906935919252363,-0.08044986226292881,-0.1887783900222996,-0.07564965765480991
Latte Ice,-0.04511930492673425,-0.05339034916563539,-0.04050637718564267,-0.049556702686882184
Lemon Tea Hot,0.0443538548412852,0.1704851161835966,0.03879703493279272,0.16916165556209234
Lemon Tea Ice,0.03325286357676468,-0.008415021471967246,0.03397850646519436,-0.010938423029858563
Lychee Tea Hot,0.09108509295384093,0.11628836559487417,0.08802339158044194,0.1139188190872311
Lychee Tea Ice,0.10332311937447794,0.10274665428698629,0.0930164848579291,0.09237440902985519
Magic,0.04415464260774372,-0.024915678533218716,0.05102114734682678,-0.03570974904811299
Matcha Hot,0.11848281210135682,-0.029711011601192813,0.11613255304336183,-0.017999445669136374
Matcha Ice,0.08571028754373818,0.05592872008943579,0.08649065712647384,0.0571224400106967
Mewangi Milk Tea Hot,0.12409381809272241,0.03428558815740208,0.12200064099681948,0.025552705052434926
Mewangi Milk Tea Ice,0.1273589170251276,0.10301478057868278,0.10831876307408415,0.0780968927594021
Mie Goreng,-0.08049824011050888,-0.023421231482315442,-0.0786754666511951,-0.016021370912302
Mie Rebus,-0.015583592823694557,-0.07104906181147794,-0.02076308175696641,-0.07235552200574799
Nasi Ayam Chili Padi,0.12504448057758488,0.1453380151894081,0.12821566957200983,0.14806011495524518
Nasi Ayam Curry,0.014887699621363696,0.0029241876451314144,0.014769770264596378,0.002247808173046498
Nasi Ayam Daun Jeruk,0.1241314867160639,0.09051496134950877,0.1145415221440899,0.07672886267646434
Nasi Ayam Mentega,-0.0004153362513232321,-0.07188985015555656,-0.0001994265573922375,-0.07188893174961737
Nasi Gila,-0.04583377985395192,-0.017100468701637082,-0.04440481115649875,-0.012776706891405802
Nasi Goreng Jawa,0.18159701433967848,0.05421170593411088,0.17807512798687197,0.04040837117849215
Nasi Goreng Kunyit,-0.0718995118582629,0.12479270161079092,-0.05669575862993002,0.11678413362338753
New York Cheesecake,0.21618876679483917,0.1053200378015425,0.20072194558628106,0.06635440240256843
Nirmala Hot,0.06321688514596045,0.07399379855558483,0.06989278935688348,0.0797645934524244
Nirmala Ice,0.1945934711700611,0.07833917148334585,0.19386908095647398,0.07646141022719743
Pisang Goreng Madu,0.14061463338069627,0.1054998899420225,0.12087344076298391,0.07695861499968594
Puspa Matcha,-0.023579226576891394,0.03183981782945944,-0.025807633947017045,0.03352279274278775
Rayu,-0.006222211804760302,0.05453006620744413,-0.013575272261583478,0.05584508012809079
Singkong Keju,-0.02237964559518128,0.05320774949133454,-0.0223784171560748,0.0532072340153426
Tahu Tuna,0.015957698995995254,-0.023013378473034918,0.016480740011330375,-0.02337899818977124
Taro Hot,-0.15751942506774866,-0.11773749211174606,-0.13644072250289543,-0.0871564175499613
Taro Ice,-0.11004597129533766,0.0031811592374366825,-0.11067129822582646,0.012240537000577208
Tempe Mendoan,0.20575878753583257,0.04501667478375313,0.2018857037439028,0.01952441544233163
Tubruk,0.012700422989992214,0.08690713441560628,0.010909805537350737,0.08666536601883547
Vietnam Drip,0.13223441544192724,0.003768129813497388,0.13222432480987223,-0.0033886269124077245
Virya Choco Banana,0.04987275324584991,-0.06542739374608321,0.04874189704774601,-0.06457108769871982
