feature,mean_mi,std_mi,pearson_r,n_items
Diff_1,0.5174472605606484,0.0731190037785396,0.6892684107067912,58
DOW_Std,0.030534834050526257,0.045665545836459084,0.0519436786865955,58
Lag_182,0.029466808855017176,0.034137623447585815,0.0729179224669398,58
Roll_Mean_28,0.02791617572379784,0.0368690137856859,0.0865478256661748,58
DOW_Median,0.02591167467713964,0.04008071386840153,0.0697808869775835,58
Weekly_Ratio,0.025413378653012294,0.031251359381925865,0.0214708083223397,58
Momentum,0.02478960498848385,0.04029183576829078,0.0084197445170979,58
DOW_P75,0.024571443990813284,0.036359839772517784,0.0745288221756311,58
DOW_P90,0.024267651007707933,0.03992119709341543,0.0775234320555279,58
EWMA_28,0.02371958859229867,0.03199093060973073,0.0884858499940605,58
Lag_28,0.022252307937224425,0.026633733973746458,0.0154157875687167,58
DOW_Avg,0.02165153257611766,0.036995013524957134,0.0989278335939135,58
DOW,0.021583104643778415,0.03215401311793283,0.0434310117606511,58
Roll_Mean_7,0.02147729214208495,0.02902596472844418,0.0898437943055951,58
Roll_Std_7,0.021467818497066547,0.026509283775107705,0.0587703345305415,58
Trend_7,0.02007300574621156,0.028619979576052966,0.0347607021263741,58
Lag_1,0.019251502637422993,0.029096852342411418,0.0462631408086857,58
Is_Weekend,0.018266938727788125,0.024972853011669318,0.0730515285414401,58
Lag_7,0.017444638043048747,0.027932963335516252,0.0352794528008492,58
Seasonal_Diff,0.01536804246779412,0.0285646752278693,0.0189298338052641,58
EWMA_7,0.014889695185043699,0.02570790253834666,0.0878206460125925,58
Lag_14,0.0136585216064045,0.022532055520169878,0.0333765792015152,58
