feature,mean_r,std_r,n
Diff_1,0.6892684107067912,0.03672483146996371,58
DOW_Avg,0.09892783359391355,0.08469601310478445,58
Roll_Mean_7,0.0898437943055951,0.11799789277103603,58
EWMA_28,0.08848584999406059,0.12458790767019368,58
EWMA_7,0.08782064601259255,0.12283261380265263,58
Roll_Mean_28,0.08654782566617486,0.12183541154580486,58
DOW_P90,0.07752343205552797,0.08054480620706234,58
DOW_P75,0.07452882217563112,0.08680440175515655,58
Is_Weekend,0.07305152854144017,0.09406413754942655,58
Lag_182,0.07291792246693987,0.1105797345248318,38
DOW_Median,0.06978088697758354,0.07862764776255707,57
Roll_Std_7,0.05877033453054157,0.10828304741673167,58
DOW_Std,0.05194367868659551,0.07853282169799597,58
Lag_1,0.04626314080868576,0.09890670159398196,58
DOW,0.04343101176065118,0.07696085817298612,58
Lag_7,0.0352794528008492,0.07982797943578356,58
Trend_7,0.03476070212637414,0.08962671959192121,58
Lag_14,0.03337657920151529,0.07532754621213318,58
Weekly_Ratio,0.021470808322339753,0.08267181517569841,58
Seasonal_Diff,0.018929833805264185,0.0730545010413436,58
Lag_28,0.015415787568716786,0.08684457838242174,58
Momentum,0.008419744517097911,0.12882225168304756,58
