Date,Item,Predicted,Error_Std,Buffer,Supply
2026-05-29,Air Mineral,2.4,2.376,1.9,4.3
2026-05-29,Anindita Honey Butter,1.68,0.472,0.38,2.1
2026-05-29,Arunika,3.91,1.122,0.9,4.8
2026-05-29,Basreng,2.43,1.79,1.43,3.9
2026-05-29,Black Hot,1.77,1.011,0.81,2.6
2026-05-29,Black Ice,3.82,1.597,1.28,5.1
2026-05-29,Candana Vanilla,1.64,0.55,0.44,2.1
2026-05-29,Cappucino Hot,1.84,0.938,0.75,2.6
2026-05-29,Cappucino Ice,1.79,0.47,0.38,2.2
2026-05-29,Chocolate Hot,1.57,0.78,0.62,2.2
2026-05-29,Chocolate Ice,2.22,1.193,0.95,3.2
2026-05-29,Cireng,2.47,1.325,1.06,3.5
2026-05-29,Cookies Original,1.89,1.103,0.88,2.8
2026-05-29,Donat,1.69,0.96,0.77,2.5
2026-05-29,Espresso,1.73,1.133,0.91,2.6
2026-05-29,Filter,1.38,0.872,0.7,2.1
2026-05-29,Husgendam Platter,2.54,1.822,1.46,4.0
2026-05-29,Kasmaran,2.3,1.164,0.93,3.2
2026-05-29,Kenang,1.76,1.464,1.17,2.9
2026-05-29,Kentang,2.76,1.49,1.19,3.9
2026-05-29,Kinasih,3.22,2.323,1.86,5.1
2026-05-29,Kirana,2.02,1.387,1.11,3.1
2026-05-29,Kirana Strawberry,1.85,0.419,0.34,2.2
2026-05-29,Kopi Susu Husgendam Hot,2.03,2.124,1.7,3.7
2026-05-29,Kopi Susu Husgendam Ice,5.55,4.182,3.35,8.9
2026-05-29,Latte Hot,1.73,0.416,0.33,2.1
2026-05-29,Latte Ice,1.71,0.463,0.37,2.1
2026-05-29,Lemon Tea Hot,2.18,1.566,1.25,3.4
2026-05-29,Lemon Tea Ice,2.74,1.054,0.84,3.6
2026-05-29,Lychee Tea Hot,1.68,1.152,0.92,2.6
2026-05-29,Lychee Tea Ice,3.25,2.558,2.05,5.3
2026-05-29,Magic,1.43,0.524,0.42,1.8
2026-05-29,Matcha Hot,1.52,0.485,0.39,1.9
