model,removed_group,n_removed,MAE,MAE_delta
XGB_Single,Temporal,16,0.7586954460979065,0.033533235435236564
XGB_Single,Recency,2,1.24169266328989,0.51653045262722
XGB_Single,Lags,4,0.7783419022961944,0.05317969163352443
XGB_Single,DOW_Baselines,4,0.6514962324870527,-0.07366597817561726
XGB_Single,CrossItem,5,0.7652314831480503,0.04006927248538039
RF,Temporal,16,0.60719203097917,0.001588734853696927
RF,Recency,2,1.0824229847805815,0.4768196886551085
RF,Lags,4,0.6049477009283382,-0.0006555951971348728
RF,DOW_Baselines,4,0.6199788268148572,0.01437553068938413
RF,CrossItem,5,0.6043805938680324,-0.0012227022574405888
