Item,n_days,total_qty,avg_qty,max_qty,first_date,last_date,cum_pct
Kopi Susu Husgendam Ice,1395,6368.0,4.564874551971326,25.0,2022-01-05,2026-03-31,9.045326060709364
Tubruk,1367,5084.0,3.7190929041697145,25.0,2022-01-01,2026-03-31,16.266814391841024
Lychee Tea Ice,1191,3318.0,2.7858942065491186,50.0,2022-01-03,2026-03-31,20.979815627618926
Basreng,1154,2623.0,2.2729636048526864,9.0,2022-01-01,2026-03-31,24.705614977059984
Kopi Susu Husgendam Hot,1066,2584.0,2.424015009380863,13.0,2022-01-04,2026-03-31,28.376017386116676
Kentang,1136,2517.0,2.215669014084507,12.0,2022-01-01,2026-03-31,31.951250692461752
Vietnam Drip,1113,2467.0,2.216531895777179,31.0,2022-01-01,2026-03-31,35.45546228036534
Kinasih,1017,2103.0,2.0678466076696167,11.0,2022-01-01,2026-03-31,38.442635758014795
Black Ice,957,2081.0,2.174503657262278,10.0,2022-01-05,2026-03-31,41.398559679550004
Mie Goreng,828,1729.0,2.0881642512077296,13.0,2022-01-05,2026-03-31,43.854490703257056
Lemon Tea Hot,869,1721.0,1.9804372842347526,11.0,2022-01-01,2026-03-31,46.29905825201347
Lemon Tea Ice,809,1541.0,1.9048207663782448,22.0,2022-01-03,2026-03-31,48.48794761438048
Air Mineral,569,1541.0,2.7082601054481548,21.0,2022-01-25,2026-03-31,50.67683697674749
Cireng,802,1457.0,1.8167082294264338,10.0,2022-08-17,2026-03-31,52.74640985213278
Matcha Ice,793,1420.0,1.7906683480453973,13.0,2022-01-02,2026-03-31,54.76342665587136
Filter,832,1417.0,1.703125,8.0,2022-01-02,2026-03-31,56.77618215650347
Nasi Gila,786,1406.0,1.7888040712468194,8.0,2022-01-03,2026-03-31,58.77331287907842
Nasi Goreng Jawa,724,1393.0,1.9240331491712708,11.0,2022-01-01,2026-03-31,60.751977954858596
Tahu Tuna,811,1365.0,1.6831072749691738,8.0,2022-01-01,2026-03-29,62.690870868311535
Mewangi Milk Tea Ice,694,1281.0,1.845821325648415,8.0,2022-12-13,2026-03-31,64.51044729478275
Chocolate Ice,715,1278.0,1.7874125874125875,12.0,2022-01-02,2026-03-31,66.32576241814748
Mewangi Milk Tea Hot,760,1264.0,1.6631578947368422,7.0,2022-01-03,2026-03-31,68.12119146034857
Cappucino Hot,750,1263.0,1.684,21.0,2022-01-03,2026-03-31,69.91520006818085
Kirana,722,1129.0,1.5637119113573408,8.0,2022-01-01,2026-03-31,71.5188704705899
Arunika,661,1052.0,1.5915279878971256,7.0,2022-01-01,2026-03-31,73.01316742659905
Pisang Goreng Madu,399,1016.0,2.5463659147869673,10.0,2024-11-26,2026-03-31,74.45632874533032
Lychee Tea Hot,610,1016.0,1.6655737704918032,10.0,2022-01-05,2026-03-31,75.8994900640616
Black Hot,573,970.0,1.692844677137871,9.0,2022-01-06,2026-03-31,77.27731140182668
Mie Rebus,573,965.0,1.6841186736474694,9.0,2022-01-03,2026-03-31,78.64803056774761
Chocolate Hot,581,954.0,1.6419965576592082,31.0,2022-01-04,2026-03-30,80.00312495561143
Singkong Keju,650,912.0,1.403076923076923,7.0,2022-01-04,2026-03-31,81.29856109998438
