,0
Days_Since_Last_Sale,0.6568099618250756
DOW_Avg,0.18379714388664325
DOW_P75,0.16726486345645242
DOW_N_Samples,0.16428794213410924
Sales_Last_7D,0.16234334476725554
DOW_Median,0.15246440799570316
Lag_1,0.07460618264332908
Lag_7,0.06668441030824024
Lag_14,0.06514933778488174
Lag_28,0.06229345248256202
DaysFromStart,0.03894374235340514
Day_Total_Qty_7D,0.02935077296338129
Day_Total_Items_Sold,0.023466917953467004
Year,0.020552955734530087
Day_Total_Qty,0.019165673684977236
Day_Total_Beverage,0.015015895731451678
Day_Total_Food,0.01469433665609543
Month_Sin,0.0033680353890401804
DayOfMonth,0.0020990555652176113
Month,0.0020257330000470475
Month_Cos,0.0017207157836223175
WeekOfYear,0.0015442404995464898
DOW,0.0014671981953737756
MonthEnd,0.0008735385005005369
WeekOfMonth,0.00021312095632453065
DOW_Sin,0.0
Is_Holiday_Season,0.0
MonthStart,0.0
Quarter,0.0
Is_Weekend,0.0
DOW_Cos,0.0
