Item,Class,MAE,RMSE,Bias,Error_Std,MAPE,MAPE_Note,Zero%,Buffer,Svc_Level,N,True_Mean,True_TotalVol
Kopi Susu Husgendam Ice,A,3.3264072,4.549854,-1.7927238,4.181783,77.38183319082242,,5.357142857142857,6.879033,95,56,6.553571428571429,367.0
Kopi Susu Husgendam Hot,A,1.6035162,2.206403,-0.5989789,2.123544,69.08179937726298,,16.071428571428573,3.4932299,95,56,3.5535714285714284,199.0
Pisang Goreng Madu,A,1.6595953,2.208853,-0.48416916,2.155136,67.96222464811235,,10.714285714285714,3.545199,95,56,3.125,175.0
Black Ice,A,1.1450264,1.5983491,-0.058898635,1.5972635,58.428574511094354,,8.928571428571429,2.6274984,95,56,2.7857142857142856,156.0
Air Mineral,A,1.5474423,2.4006348,-0.34402326,2.3758566,67.98259806971177,,16.071428571428573,3.9082842,95,56,2.767857142857143,155.0
Lychee Tea Ice,A,1.5646793,2.5640278,-0.17238484,2.5582266,78.94017575510814,,12.5,4.2082825,95,56,2.767857142857143,155.0
Kinasih,A,1.572307,2.329229,-0.16403495,2.3234458,80.19507989591482,,12.5,3.8220682,95,56,2.6785714285714284,150.0
Basreng,A,1.393421,1.793022,0.109489135,1.7896761,77.18630786282675,,10.714285714285714,2.9440172,95,56,2.607142857142857,146.0
Husgendam Platter,A,1.2768657,1.8253818,-0.10796123,1.8221862,64.58605477995906,,16.071428571428573,2.9974964,95,56,2.5535714285714284,143.0
Tubruk,A,1.0403982,1.3849448,-0.15351905,1.3764098,54.945260428850894,,16.071428571428573,2.264194,95,56,2.517857142857143,141.0
Kentang,A,1.1737055,1.4900713,-0.008811815,1.4900452,69.49583376475744,,10.714285714285714,2.4511242,95,56,2.4285714285714284,136.0
Lemon Tea Hot,A,1.1034298,1.5664713,0.010774493,1.5664344,62.79838889775562,,17.857142857142858,2.5767846,95,56,2.3392857142857144,131.0
Vietnam Drip,A,1.0651233,1.4955269,0.057159595,1.4944342,66.83534311910047,,16.071428571428573,2.4583442,95,56,2.3214285714285716,130.0
Nasi Goreng Jawa,A,1.3131133,2.2193034,-0.30992073,2.197557,76.97247094609901,,32.142857142857146,3.6149812,95,56,2.1607142857142856,121.0
Matcha Ice,A,1.019165,1.8730258,-0.20231462,1.8620672,65.91920567668885,,32.142857142857146,3.0631006,95,56,1.8035714285714286,101.0
Tempe Mendoan,A,0.9021719,1.3278539,0.058699004,1.3265558,67.89609394332234,,23.214285714285715,2.1821845,95,56,1.8035714285714286,101.0
Kirana,A,1.0027292,1.412242,0.26668757,1.3868328,77.5567458505216,,17.857142857142858,2.28134,95,56,1.7678571428571428,99.0
Lychee Tea Hot,A,0.74102825,1.153067,0.04458863,1.1522046,54.69380402375782,,25.0,1.8953766,95,56,1.7142857142857142,96.0
Nasi Ayam Daun Jeruk,A,1.0353056,1.9274133,-0.13042487,1.9229956,79.9296191892522,,39.285714285714285,3.1633277,95,56,1.6964285714285714,95.0
Cireng,A,0.86169195,1.3292114,0.105004,1.3250573,73.81210614764501,,25.0,2.1797192,95,56,1.6428571428571428,92.0
Black Hot,A,0.75423187,1.0422461,0.25388744,1.0108502,64.46054399013519,,25.0,1.6628486,95,56,1.5892857142857142,89.0
Cappucino Hot,A,0.5736122,0.9385853,-0.040737983,0.93770075,49.07432302280708,,35.714285714285715,1.5425177,95,56,1.4642857142857142,82.0
Tahu Tuna,A,0.806112,1.2933621,0.011858448,1.2933078,71.84826742016206,,30.357142857142854,2.1274912,95,56,1.4464285714285714,81.0
Kenang,A,0.8389558,1.464447,-0.03387379,1.4640552,70.23491253820407,,37.5,2.4083707,95,56,1.4285714285714286,80.0
Arunika,A,0.7534178,1.1450144,0.22990875,1.1216952,68.17560356760782,,25.0,1.8451885,95,56,1.4285714285714286,80.0
Cookies Original,A,0.67941535,1.1073167,-0.100947656,1.1027057,62.279661996024004,,37.5,1.8139509,95,56,1.375,77.0
Chocolate Ice,A,0.634646,1.1929045,0.007854598,1.1928786,62.472521275382256,,41.07142857142857,1.9622853,95,56,1.3035714285714286,73.0
Kasmaran,B,0.71859187,1.1729368,0.14162226,1.1643555,65.99942470851698,,32.142857142857146,1.4927037,90,56,1.3035714285714286,73.0
Mie Goreng,B,0.6954223,1.1051192,0.11305843,1.0993208,65.20655467703536,,33.92857142857143,1.4093292,90,56,1.2857142857142858,72.0
Lemon Tea Ice,B,0.6639493,1.0546108,-0.015980167,1.0544897,65.80026374922859,,41.07142857142857,1.3518558,90,56,1.2678571428571428,71.0
Nasi Ayam Chili Padi,B,0.6202583,1.0351425,-0.0023012033,1.03514,60.216026070217296,,42.857142857142854,1.3270495,90,56,1.2678571428571428,71.0
Donat,B,0.7916404,1.0610268,0.45177245,0.96004146,80.07110555966695,,23.214285714285715,1.2307731,90,56,1.2321428571428572,69.0
Chocolate Hot,B,0.5022115,0.7962009,0.158643,0.78023607,54.4959099980088,,33.92857142857143,1.0002626,90,56,1.2142857142857142,68.0
Nasi Ayam Mentega,B,0.6350509,1.0808804,0.006993562,1.0808579,62.18061001613887,,41.07142857142857,1.3856597,90,56,1.2142857142857142,68.0
Nasi Gila,B,0.59899265,0.8998376,0.17909847,0.88183427,69.43427914320822,,41.07142857142857,1.1305115,90,56,1.1785714285714286,66.0
Mewangi Milk Tea Hot,B,0.609439,0.9504748,0.10255162,0.9449262,68.3248802727344,,39.285714285714285,1.2113954,90,56,1.1428571428571428,64.0
Mewangi Milk Tea Ice,B,0.51756895,0.9053438,-0.004568211,0.9053322,60.15278080458282,,44.642857142857146,1.1606358,90,56,1.1071428571428572,62.0
Filter,B,0.5314146,0.8742651,-0.061283767,0.87211454,59.047164267963836,,46.42857142857143,1.1180508,90,56,1.0892857142857142,61.0
Mie Rebus,B,0.5628182,1.0141375,-0.030584123,1.0136763,63.32053735521105,,46.42857142857143,1.2995329,90,56,1.0714285714285714,60.0
Nirmala Ice,B,0.47239137,0.7207233,0.18629944,0.6962288,61.46897543221712,,42.857142857142854,0.8925653,90,56,0.9107142857142857,51.0
Nirmala Hot,B,0.39399937,0.6555584,0.23852798,0.6106236,61.39599764218894,,44.642857142857146,0.7828194,90,56,0.8214285714285714,46.0
Nasi Ayam Curry,B,0.35345218,0.9593574,0.04649999,0.9582297,43.52888377507527,,55.35714285714286,1.2284504,90,56,0.8214285714285714,46.0
Memukau,B,0.35842854,0.65844023,0.09066825,0.65216774,57.4444069312169,,53.57142857142857,0.836079,90,56,0.7678571428571429,43.0
Espresso,B,0.60114723,1.1509001,0.20022942,1.1333487,88.35127041453407,,50.0,1.452953,90,56,0.7678571428571429,43.0
Singkong Keju,C,0.3576615,0.5761075,0.25815395,0.51503044,59.220348378663424,,44.642857142857146,0.53357154,85,56,0.75,42.0
Puspa Matcha,C,0.403361,0.68005157,0.11637342,0.6700204,64.00301402960066,,53.57142857142857,0.69414115,85,56,0.7321428571428571,41.0
Matcha Hot,C,0.31732583,0.5077123,0.15038116,0.4849302,54.72368362509174,,51.78571428571429,0.5023877,85,56,0.6964285714285714,39.0
Candana Vanilla,C,0.350181,0.5884753,0.2090057,0.55010885,63.37390137024415,,53.57142857142857,0.5699128,85,56,0.6607142857142857,37.0
Magic,C,0.26307464,0.52660644,0.05038448,0.52419055,48.483623248158075,,60.71428571428571,0.54306144,85,56,0.625,35.0
Menawan,C,0.30348,0.5628797,0.07026368,0.558477,58.97332647490122,,62.5,0.57858217,85,56,0.5892857142857143,33.0
Kirana Strawberry,C,0.29266125,0.47225827,0.21708772,0.41940528,58.33333524373862,,53.57142857142857,0.43450388,85,56,0.5892857142857143,33.0
Latte Ice,C,0.20581833,0.46386713,0.035095893,0.4625376,38.57909043629964,,62.5,0.47918895,85,56,0.5714285714285714,32.0
Rayu,C,0.30324167,0.5119645,0.19225852,0.4744937,63.440573298268845,,57.14285714285714,0.49157548,85,56,0.5535714285714286,31.0
Nasi Goreng Kunyit,C,0.22143866,0.40528494,0.14193226,0.37961972,49.48967848763322,,60.71428571428571,0.39328602,85,56,0.5178571428571429,29.0
Cappucino Ice,C,0.26563594,0.5066787,0.1882281,0.4704184,60.504292177431516,,60.71428571428571,0.48735347,85,56,0.5178571428571429,29.0
Virya Choco Banana,C,0.28187877,0.52468705,0.2227126,0.4750743,66.94683595137163,,60.71428571428571,0.49217698,85,56,0.5,28.0
Anindita Honey Butter,C,0.2846639,0.5200112,0.21877483,0.47175124,68.19630292328921,,60.71428571428571,0.4887343,85,56,0.4642857142857143,26.0
Latte Hot,C,0.23181668,0.43948445,0.14268038,0.41567883,57.584688663482666,,64.28571428571429,0.43064326,85,56,0.4642857142857143,26.0
Taro Ice,C,0.23846109,0.6043932,0.07610316,0.59958273,58.86386156082154,,69.64285714285714,0.6211677,85,56,0.42857142857142855,24.0
Taro Hot,C,0.10091162,0.2474854,0.09001533,0.23053475,45.66348344087601,,78.57142857142857,0.23883401,85,56,0.23214285714285715,13.0
New York Cheesecake,C,0.014149497,0.103414476,-0.013489031,0.10253097,38.69394063949585,,98.21428571428571,0.106222086,85,56,0.03571428571428571,2.0
