Item,n_train,n_test,n_nonzero,test_mean_qty,xgb_item_mae,ma7_mae
Air Mineral,1537,14,569,4.785714285714286,2.6580436368073737,3.173469387755102
Anindita Honey Butter,1544,7,72,0.5714285714285714,0.1659785078040191,0.4693877551020408
Arunika,1537,14,661,2.4285714285714284,0.98946762830019,1.2857142857142858
Basreng,1537,14,1154,3.357142857142857,1.3192810331072127,1.826530612244898
Black Hot,1537,14,573,1.7142857142857142,0.8784648249191898,1.1224489795918369
Black Ice,1537,14,957,3.857142857142857,1.78962014402662,1.8979591836734693
Candana Vanilla,1537,14,486,1.0714285714285714,0.41304182686976026,0.7857142857142857
Cappucino Hot,1537,14,750,2.357142857142857,1.027616920215743,1.2142857142857142
Cappucino Ice,1537,14,308,1.1428571428571428,0.4581371326930821,0.9387755102040816
Chocolate Hot,1537,14,581,1.0714285714285714,0.6144553969747254,0.9897959183673468
Chocolate Ice,1537,14,715,2.7142857142857144,1.5565493329195306,1.9183673469387759
Cireng,1537,14,802,2.5,1.5154036751815252,1.6836734693877549
Cookies Original,1544,7,36,2.142857142857143,1.1472693596567427,1.836734693877551
Donat,1537,14,569,1.8571428571428572,0.727346903511456,1.1428571428571428
Espresso,1537,14,491,1.0714285714285714,0.5935721736667412,0.9081632653061226
Filter,1537,14,832,1.4285714285714286,0.7857865637966565,1.4285714285714284
Husgendam Platter,1537,14,178,4.428571428571429,1.69316600050245,2.469387755102041
Kasmaran,1537,14,245,2.2857142857142856,1.0274542272090912,1.2653061224489794
Kenang,1538,13,138,2.076923076923077,1.2387030262213488,1.5384615384615385
Kentang,1537,14,1136,3.5714285714285716,1.615202580179487,1.897959183673469
Kinasih,1537,14,1017,3.7142857142857144,1.7865540757775307,1.7755102040816326
Kirana,1537,14,722,2.357142857142857,1.1878727504185267,1.2959183673469388
Kirana Strawberry,1537,14,283,0.5,0.24008476547896862,0.5816326530612245
Kopi Susu Husgendam Hot,1537,14,1066,4.142857142857143,1.2612037445817674,1.8571428571428572
Kopi Susu Husgendam Ice,1537,14,1395,9.642857142857142,3.461221694946289,3.9285714285714284
Latte Hot,1537,14,326,0.5714285714285714,0.3177186551370791,0.5714285714285714
Latte Ice,1537,14,214,1.0,0.4675326270849577,1.1428571428571428
Lemon Tea Hot,1537,14,869,2.857142857142857,1.6257083054099764,2.102040816326531
Lemon Tea Ice,1537,14,809,2.2857142857142856,1.1859870382717677,1.5510204081632655
Lychee Tea Hot,1537,14,610,2.2857142857142856,0.8975632161434207,1.6122448979591835
Lychee Tea Ice,1537,14,1191,5.071428571428571,3.117585684571947,3.7040816326530615
Magic,1544,7,71,0.7142857142857143,0.513652856860842,1.2653061224489794
Matcha Hot,1537,14,395,1.0714285714285714,0.5727015167607793,1.0714285714285714
Matcha Ice,1537,14,793,3.357142857142857,1.5858900206429618,2.0714285714285716
Mewangi Milk Tea Hot,1537,14,760,1.3571428571428572,0.7148369651819978,0.8265306122448978
Mewangi Milk Tea Ice,1537,14,694,1.7857142857142858,0.8684577271342278,1.357142857142857
Mie Goreng,1537,14,828,2.142857142857143,0.9239138469898275,1.7142857142857142
Mie Rebus,1537,14,573,1.6428571428571428,0.82623813567417,1.397959183673469
Nasi Ayam Chili Padi,1537,14,341,2.2857142857142856,1.2559832025851523,1.7346938775510203
Nasi Ayam Curry,1537,14,513,1.7142857142857142,1.1896172038146429,1.2244897959183672
Nasi Ayam Daun Jeruk,1537,14,353,3.0714285714285716,2.230316619787897,2.622448979591837
Nasi Ayam Mentega,1537,14,351,1.7142857142857142,1.938674642305289,1.285714285714286
Nasi Gila,1537,14,786,1.9285714285714286,0.7340469800068864,1.5204081632653057
Nasi Goreng Jawa,1537,14,724,3.7142857142857144,2.303722641297749,2.89795918367347
Nasi Goreng Kunyit,1544,7,62,0.5714285714285714,0.1781338612948145,0.6530612244897959
New York Cheesecake,1537,14,336,0.0,0.018608786722844734,0.0
Nirmala Hot,1537,14,480,1.5,0.5938894742534363,1.1326530612244896
Nirmala Ice,1537,14,370,1.3571428571428572,0.5970035982983453,1.0714285714285714
Pisang Goreng Madu,1537,14,399,4.071428571428571,1.9712407844407218,2.397959183673469
Puspa Matcha,1537,14,231,1.3571428571428572,0.8312959162119243,1.2346938775510203
Rayu,1537,14,151,0.6428571428571429,0.21742559064711844,0.6836734693877551
Singkong Keju,1537,14,650,0.5714285714285714,0.29348016024700235,0.7755102040816324
Tahu Tuna,1537,14,811,1.5714285714285714,1.471189902297088,1.9183673469387752
Taro Hot,1537,14,215,0.2857142857142857,0.09874052264993745,0.3673469387755102
Taro Ice,1537,14,419,0.42857142857142855,0.17304632182432605,0.6326530612244897
Tempe Mendoan,1537,14,368,3.0,1.5364982272897447,1.8163265306122451
Tubruk,1537,14,1367,2.5714285714285716,1.3259822662387575,1.9183673469387752
Vietnam Drip,1537,14,1113,2.7142857142857144,1.0353400707244873,0.9387755102040813
Virya Choco Banana,1544,7,78,0.5714285714285714,0.611852589994669,0.6530612244897959
