Item,mean_sales,nonzero_mean,cv_nonzero,zero_pct,max_consec_zeros,acf_lag7,n_days,n_nonzero,hard_score
Kopi Susu Husgendam Ice,4.105738233397808,4.564874551971326,0.7133144782307909,10.058027079303674,4,0.33415466103675695,1551,1395,6.697090449920432
Tubruk,3.277885235332044,3.7190929041697145,0.7341946716138322,11.863313990973566,4,0.18749196693679693,1551,1367,9.63903791641711
Lychee Tea Ice,2.13926499032882,2.7858942065491186,0.8501211694614083,23.21083172147002,9,0.13394719068614516,1551,1191,20.101806018890247
Basreng,1.6911669890393295,2.2729636048526864,0.6053854387467652,25.596389426176657,4,0.07399805780450568,1551,1154,23.7023063218318
Kopi Susu Husgendam Hot,1.6660219213410703,2.424015009380863,0.7300485040576395,31.27014829142489,8,0.17361389189955975,1551,1066,25.841216146274245
Kentang,1.622823984526112,2.215669014084507,0.6682203102131987,26.756931012250163,7,0.12281177192859863,1551,1136,23.47086490326445
Vietnam Drip,1.5905867182462927,2.216531895777179,0.7268392290076408,28.239845261121854,6,0.06676008542890782,1551,1113,26.35455077899022
Kinasih,1.355899419729207,2.0678466076696167,0.7012250288412272,34.4294003868472,8,0.1278280950673074,1551,1017,30.028355721086903
Black Ice,1.3417150225660863,2.174503657262278,0.7178520227824352,38.297872340425535,14,0.3938757222603431,1551,957,23.21327021130601
Mie Goreng,1.1147646679561574,2.0881642512077296,0.7174785744897965,46.61508704061896,12,0.05480027305262115,1551,828,44.06056754242134
Lemon Tea Hot,1.1096067053513863,1.9804372842347526,0.6805724160201081,43.97163120567376,13,0.155810122618579,1551,869,37.1204059557788
Lemon Tea Ice,0.9935525467440361,1.9048207663782448,0.7487608978430268,47.840103159252095,9,0.07710642694564457,1551,809,44.15132373993113
Air Mineral,0.9935525467440361,2.7082601054481548,0.7895349340136721,63.31399097356544,338,0.3031439747700598,1551,569,44.12073609128313
Cireng,0.9393939393939394,1.8167082294264338,0.6620139335751283,48.29142488716957,228,0.11492624455332703,1551,802,42.741472780758095
Matcha Ice,0.915538362346873,1.7906683480453973,0.6969888760622317,48.871695680206315,9,0.13292288769984356,1551,793,42.37552876360532
Filter,0.9136041263700838,1.703125,0.608528409139502,46.3571889103804,11,0.03499194720576806,1551,832,44.73506060342056
Nasi Gila,0.9065119277885235,1.7888040712468194,0.6699797349877065,49.32301740812379,30,0.13319652243988586,1551,786,42.753363013119746
Nasi Goreng Jawa,0.8981302385557705,1.9240331491712708,0.742807178513569,53.320438426821404,12,0.15438189947144235,1551,724,45.088727861838635
Tahu Tuna,0.8800773694390716,1.6831072749691738,0.6109556301876519,47.711154094132816,9,0.03730898172953697,1551,811,45.93109951773969
Mewangi Milk Tea Ice,0.8259187620889749,1.845821325648415,0.5825777659928154,55.25467440361057,346,0.22248204862975887,1551,694,42.96150124592499
Chocolate Ice,0.8239845261121856,1.7874125874125875,0.7186302775621591,53.90070921985816,21,0.07502372159449494,1551,715,49.856877417601694
Mewangi Milk Tea Hot,0.8149580915538363,1.6631578947368422,0.5859474392283109,50.999355254674406,11,0.10609036624845808,1551,760,45.58881497727078
Cappucino Hot,0.8143133462282398,1.684,0.8125077984490338,51.64410058027079,12,0.06971172723520766,1551,750,48.04390112731132
Kirana,0.7279174725983236,1.5637119113573408,0.5837373361707672,53.44938749194068,15,0.07279716206996711,1551,722,49.5584237681494
Arunika,0.6782720825274017,1.5915279878971256,0.5853722999233552,57.38233397807866,16,0.0877772355008072,1551,661,52.34547133489888
Pisang Goreng Madu,0.6550612508059317,2.5463659147869673,0.6088041998747279,74.27466150870407,1060,0.5556124453181649,1551,399,33.00673520267402
Lychee Tea Hot,0.6550612508059317,1.6655737704918032,0.670942266761493,60.67053513862024,17,0.2210203696311669,1551,610,47.261111036561694
Black Hot,0.6254029658284977,1.692844677137871,0.6829723786952004,63.05609284332688,20,0.3190472673412107,1551,573,42.93821873244977
Mie Rebus,0.6221792392005158,1.6841186736474694,0.6747061051133812,63.05609284332688,15,0.07607784843241043,1551,573,58.25892096925226
Chocolate Hot,0.6150870406189555,1.6419965576592082,0.9397986377196772,62.54029658284978,25,0.06468164214408097,1551,581,58.4950874996932
Singkong Keju,0.5880077369439072,1.403076923076923,0.5452285404125448,58.09155383623469,19,0.042542943523539815,1551,650,55.62016814218508
Tempe Mendoan,0.5493230174081238,2.3152173913043477,0.592052100196724,76.27337201805287,1060,0.5024734012143366,1551,368,37.94803135805544
Nasi Ayam Curry,0.5383623468729851,1.6276803118908383,0.8091697216429635,66.92456479690522,239,0.1625917943257899,1551,513,56.0431797221038
Donat,0.5325596389426177,1.4516695957820738,0.5363346430701187,63.31399097356544,24,0.1642111745024061,1551,569,52.91712615336152
Nasi Ayam Daun Jeruk,0.4932301740812379,2.1671388101983005,0.7732023381344154,77.24049000644744,1011,0.5100954367041679,1551,353,37.84046852536472
Espresso,0.4738878143133462,1.4969450101832993,0.8552294808676567,68.34300451321728,22,0.05642672316848522,1551,491,64.48663271704744
Nirmala Hot,0.4693745970341715,1.5166666666666666,0.5756395979652218,69.0522243713733,231,0.1383166496936459,1551,480,59.50115204243102
Nasi Ayam Mentega,0.44745325596389424,1.9772079772079771,1.7060360521892792,77.36943907156673,799,0.10608594667193644,1551,351,69.16162888418287
Candana Vanilla,0.43584784010315925,1.3909465020576133,0.4921213233948343,68.66537717601547,19,0.077289645942786,1551,486,63.358254485553374
Kasmaran,0.4274661508704062,2.706122448979592,0.700677592596264,84.20373952288845,1232,0.49623242558578584,1551,245,42.41911361605182
Nasi Ayam Chili Padi,0.38168923275306255,1.7360703812316716,0.6559754765120757,78.01418439716312,872,0.31127165544852375,1551,341,53.73058007139176
Taro Ice,0.3733075435203095,1.3818615751789975,0.5925240434120893,72.98517085751128,17,0.0672450585127294,1551,419,68.07727877263638
Nirmala Ice,0.3662153449387492,1.5351351351351352,0.5646881825426073,76.14442295293358,855,0.32769433707772044,1551,370,51.19232675120645
New York Cheesecake,0.3655705996131528,1.6875,0.6874575028878736,78.33655705996132,381,0.30378687890606676,1551,336,54.538938886468664
Matcha Hot,0.34107027724049,1.339240506329114,0.5346876813876081,74.53255963894262,39,0.031228989785304084,1551,395,72.20498309530551
Cappucino Ice,0.26499032882011603,1.3344155844155845,0.5026259917302578,80.1418439716312,41,0.028614268544161707,1551,308,77.84864372660265
Latte Hot,0.2546744036105738,1.2116564417177915,0.4149196403684301,78.98130238555771,28,0.03602265112126763,1551,326,76.13618648461942
Husgendam Platter,0.24306898774983882,2.1179775280898876,0.761088342510673,88.52353320438426,603,0.606985400894717,1551,178,34.79104091370429
Kenang,0.22372662798194712,2.5144927536231885,0.9494048130053476,91.10251450676982,1344,0.3157524332163202,1551,138,62.33667387913214
Kirana Strawberry,0.22308188265635073,1.2226148409893993,0.415341148420571,81.75370728562218,36,0.12156858268079063,1551,283,71.81502496200886
Puspa Matcha,0.21147646679561574,1.41991341991342,0.6117042050724124,85.1063829787234,106,0.16457179988835965,1551,231,71.10027234992684
Latte Ice,0.1773049645390071,1.2850467289719627,0.4686396702114192,86.20245003223727,66,0.0875991437973656,1551,214,78.6511892161781
Rayu,0.16634429400386846,1.7086092715231789,0.6121331953547667,90.26434558349452,1232,0.30962080351682686,1551,151,62.316626375012405
Taro Hot,0.16118633139909735,1.1627906976744187,0.348482424233992,86.13797549967764,76,0.08304392527795815,1551,215,78.98473989868782
Virya Choco Banana,0.07479045776918117,1.4871794871794872,0.5872202195147034,94.97098646034816,1363,0.2520155630176478,1551,78,71.0368198372021
Magic,0.06640876853642812,1.4507042253521127,0.4879546358496724,95.42230818826563,1358,0.3613116037123731,1551,71,60.945120986827064
Anindita Honey Butter,0.061895551257253385,1.3333333333333333,0.41457809879442503,95.35783365570599,1363,0.36045574550298637,1551,72,60.985554635788716
Nasi Goreng Kunyit,0.059961315280464215,1.5,0.5184758473652126,96.00257898130239,1425,0.28253870059879294,1551,62,68.87813506179222
Cookies Original,0.05415860735009671,2.3333333333333335,0.6226998490772391,97.678916827853,1496,0.45517321589287574,1551,36,53.218090130386415
Memukau,0.029013539651837523,1.6666666666666667,0.5163977794943222,98.25918762088975,1502,0.19762943431646768,1551,27,78.84027995497763
