Item,zero_pct,nonzero_days,total_days
Kopi Susu Husgendam Ice,10.058027079303677,1395,1551
Tubruk,11.863313990973568,1367,1551
Lychee Tea Ice,23.210831721470015,1191,1551
Basreng,25.596389426176657,1154,1551
Kentang,26.756931012250163,1136,1551
Vietnam Drip,28.239845261121854,1113,1551
Kopi Susu Husgendam Hot,31.27014829142488,1066,1551
Kinasih,34.4294003868472,1017,1551
Black Ice,38.297872340425535,957,1551
Lemon Tea Hot,43.97163120567376,869,1551
Filter,46.3571889103804,832,1551
Mie Goreng,46.61508704061895,828,1551
Tahu Tuna,47.711154094132816,811,1551
Lemon Tea Ice,47.8401031592521,809,1551
Cireng,48.29142488716956,802,1551
Matcha Ice,48.871695680206315,793,1551
Nasi Gila,49.32301740812379,786,1551
Mewangi Milk Tea Hot,50.999355254674406,760,1551
Cappucino Hot,51.64410058027079,750,1551
Nasi Goreng Jawa,53.320438426821404,724,1551
Kirana,53.44938749194068,722,1551
Chocolate Ice,53.90070921985816,715,1551
Mewangi Milk Tea Ice,55.25467440361058,694,1551
Arunika,57.38233397807866,661,1551
Singkong Keju,58.09155383623469,650,1551
Lychee Tea Hot,60.67053513862024,610,1551
Chocolate Hot,62.54029658284978,581,1551
Black Hot,63.056092843326894,573,1551
Mie Rebus,63.056092843326894,573,1551
Air Mineral,63.313990973565446,569,1551
Donat,63.313990973565446,569,1551
Nasi Ayam Curry,66.92456479690523,513,1551
Espresso,68.34300451321728,491,1551
Candana Vanilla,68.66537717601547,486,1551
Nirmala Hot,69.0522243713733,480,1551
Taro Ice,72.98517085751128,419,1551
Pisang Goreng Madu,74.27466150870406,399,1551
Matcha Hot,74.53255963894262,395,1551
Nirmala Ice,76.14442295293358,370,1551
Tempe Mendoan,76.27337201805287,368,1551
Nasi Ayam Daun Jeruk,77.24049000644746,353,1551
Nasi Ayam Mentega,77.36943907156673,351,1551
Nasi Ayam Chili Padi,78.01418439716312,341,1551
New York Cheesecake,78.33655705996132,336,1551
Latte Hot,78.98130238555771,326,1551
Cappucino Ice,80.1418439716312,308,1551
Kirana Strawberry,81.75370728562218,283,1551
Kasmaran,84.20373952288847,245,1551
Puspa Matcha,85.1063829787234,231,1551
Taro Hot,86.13797549967764,215,1551
Latte Ice,86.20245003223727,214,1551
Husgendam Platter,88.52353320438426,178,1551
Rayu,90.26434558349452,151,1551
Kenang,91.10251450676982,138,1551
Virya Choco Banana,94.97098646034816,78,1551
Anindita Honey Butter,95.35783365570599,72,1551
Magic,95.42230818826563,71,1551
Nasi Goreng Kunyit,96.00257898130239,62,1551
Cookies Original,97.678916827853,36,1551
Memukau,98.25918762088975,27,1551
Menawan,98.64603481624758,21,1551
